Time (min);Temperature (°C);Weight (mg);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min)
.004333333;26.69563;2.084347;14.69428;0.7777957;4.932384;100.0224
.004333333;26.70556;2.084379;14.69404;0.7777630;4.932206;100.0324
0.01266666;26.70452;2.084402;14.69421;0.7777634;4.932246;99.95409
0.02100000;26.70541;2.084490;14.69435;0.7777618;4.932270;100.0188
0.02933333;26.70864;2.084680;14.69434;0.7777444;4.932204;100.0107
0.03766667;26.71648;2.084705;14.69498;0.7777795;4.932478;99.98889
0.04600000;26.72590;2.084820;14.69564;0.7778116;4.932748;99.98192
0.05433334;26.72690;2.084934;14.69679;0.7778805;4.933268;100.0361
0.06266666;26.72680;2.085035;14.69856;0.7780066;4.934144;99.91386
0.07100000;26.74252;2.085070;14.70008;0.7781024;4.934848;100.0986
0.07933334;26.74094;2.085103;14.70138;0.7781770;4.935422;99.96384
0.08766666;26.74508;2.085120;14.70286;0.7782756;4.936130;99.95462
0.09600000;26.74900;2.085156;14.70443;0.7783812;4.936882;100.0049
0.1043333;26.75736;2.085123;14.70619;0.7784978;4.937719;99.99382
0.1126666;26.75915;2.084978;14.70790;0.7786100;4.938528;100.0238
0.1210000;26.76650;2.085020;14.70945;0.7787082;4.939248;99.95652
0.1293333;26.77785;2.084994;14.71105;0.7788082;4.939987;100.0429
0.1376667;26.78701;2.084975;14.71232;0.7788764;4.940530;100.0178
0.1460000;26.78534;2.084930;14.71272;0.7788650;4.940576;100.0233
0.1543334;26.80052;2.084972;14.71404;0.7789371;4.941148;99.96019
0.1626666;26.81108;2.084892;14.71584;0.7790449;4.941959;100.0051
0.1710000;26.82142;2.084900;14.71792;0.7791711;4.942904;100.0014
0.1793333;26.82520;2.084859;14.71945;0.7792484;4.943542;99.96715
0.1876666;26.83222;2.084892;14.72075;0.7793037;4.944046;100.0293
0.1960000;26.84422;2.084885;14.72239;0.7793860;4.944725;100.0135
0.2043333;26.86064;2.084892;14.72353;0.7794168;4.945097;99.98014
0.2126666;26.86672;2.084869;14.72458;0.7794395;4.945421;100.0120
0.2210000;26.88386;2.084873;14.72609;0.7794994;4.945986;99.95734
0.2293333;26.89000;2.084865;14.72754;0.7795499;4.946504;100.0037
0.2376666;26.89582;2.084856;14.72855;0.7795618;4.946777;99.99887
0.2460000;26.91488;2.084954;14.72948;0.7795681;4.947011;100.0239
0.2543334;26.92577;2.084946;14.73020;0.7795493;4.947100;100.0260
0.2626667;26.94293;2.084988;14.73065;0.7795019;4.947024;99.99830
0.2710000;26.95430;2.084960;14.73085;0.7794290;4.946793;99.97088
0.2793333;26.97521;2.084996;14.73078;0.7793251;4.946384;99.99275
0.2876667;26.99846;2.084987;14.73086;0.7792282;4.946036;99.99976
