Создан как новый массив данных;Образец 009 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0261
3999,00;0,0261
3998,00;0,0261
3997,00;0,0261
3996,00;0,0261
3995,00;0,0261
3994,00;0,0261
3993,00;0,0261
3992,00;0,0261
3991,00;0,0261
3990,00;0,0261
3989,00;0,0261
3988,00;0,0261
3987,00;0,0261
3986,00;0,0261
3985,00;0,0261
3984,00;0,0261
3983,00;0,0261
3982,00;0,0261
3981,00;0,0261
3980,00;0,0262
3979,00;0,0262
3978,00;0,0262
3977,00;0,0262
3976,00;0,0262
3975,00;0,0262
3974,00;0,0262
3973,00;0,0262
3972,00;0,0262
3971,00;0,0262
3970,00;0,0262
3969,00;0,0262
3968,00;0,0262
3967,00;0,0262
3966,00;0,0262
3965,00;0,0262
3964,00;0,0262
3963,00;0,0262
3962,00;0,0262
3961,00;0,0262
3960,00;0,0262
3959,00;0,0262
3958,00;0,0262
3957,00;0,0262
3956,00;0,0262
3955,00;0,0263
3954,00;0,0263
3953,00;0,0263
3952,00;0,0263
3951,00;0,0263
3950,00;0,0263
3949,00;0,0263
3948,00;0,0263
3947,00;0,0263
3946,00;0,0263
3945,00;0,0263
3944,00;0,0263
3943,00;0,0263
3942,00;0,0263
3941,00;0,0263
3940,00;0,0263
3939,00;0,0263
3938,00;0,0263
3937,00;0,0264
3936,00;0,0264
3935,00;0,0265
3934,00;0,0265
3933,00;0,0264
3932,00;0,0264
3931,00;0,0264
3930,00;0,0264
3929,00;0,0264
3928,00;0,0264
3927,00;0,0264
3926,00;0,0264
3925,00;0,0264
3924,00;0,0265
3923,00;0,0265
3922,00;0,0265
3921,00;0,0265
3920,00;0,0265
3919,00;0,0265
3918,00;0,0265
3917,00;0,0265
3916,00;0,0264
3915,00;0,0264
3914,00;0,0264
3913,00;0,0264
3912,00;0,0264
3911,00;0,0264
3910,00;0,0265
3909,00;0,0265
3908,00;0,0265
3907,00;0,0265
3906,00;0,0264
3905,00;0,0264
3904,00;0,0264
3903,00;0,0264
3902,00;0,0264
3901,00;0,0263
3900,00;0,0263
3899,00;0,0264
3898,00;0,0264
3897,00;0,0265
3896,00;0,0265
3895,00;0,0265
3894,00;0,0265
3893,00;0,0265
3892,00;0,0265
3891,00;0,0265
3890,00;0,0266
3889,00;0,0266
3888,00;0,0265
3887,00;0,0265
3886,00;0,0265
3885,00;0,0265
3884,00;0,0265
3883,00;0,0265
3882,00;0,0264
3881,00;0,0264
3880,00;0,0265
3879,00;0,0266
3878,00;0,0267
3877,00;0,0266
3876,00;0,0266
3875,00;0,0266
3874,00;0,0266
3873,00;0,0267
3872,00;0,0266
3871,00;0,0265
3870,00;0,0265
3869,00;0,0264
3868,00;0,0264
3867,00;0,0264
3866,00;0,0263
3865,00;0,0264
3864,00;0,0265
3863,00;0,0265
3862,00;0,0266
3861,00;0,0266
3860,00;0,0267
3859,00;0,0267
3858,00;0,0268
3857,00;0,0268
3856,00;0,0267
3855,00;0,0267
3854,00;0,0266
3853,00;0,0266
3852,00;0,0266
3851,00;0,0266
3850,00;0,0265
3849,00;0,0265
3848,00;0,0266
3847,00;0,0267
3846,00;0,0267
3845,00;0,0268
3844,00;0,0268
3843,00;0,0268
3842,00;0,0268
3841,00;0,0267
3840,00;0,0267
3839,00;0,0266
3838,00;0,0266
3837,00;0,0266
3836,00;0,0266
3835,00;0,0266
3834,00;0,0266
3833,00;0,0266
3832,00;0,0266
3831,00;0,0267
3830,00;0,0267
3829,00;0,0267
3828,00;0,0267
3827,00;0,0267
3826,00;0,0267
3825,00;0,0268
3824,00;0,0268
3823,00;0,0268
3822,00;0,0267
3821,00;0,0268
3820,00;0,0268
3819,00;0,0268
3818,00;0,0268
3817,00;0,0268
3816,00;0,0268
3815,00;0,0269
3814,00;0,0269
3813,00;0,0269
3812,00;0,0269
3811,00;0,0269
3810,00;0,0269
3809,00;0,0269
3808,00;0,0268
3807,00;0,0269
3806,00;0,0269
3805,00;0,0269
3804,00;0,0269
3803,00;0,0268
3802,00;0,0268
3801,00;0,0268
3800,00;0,0268
3799,00;0,0268
3798,00;0,0267
3797,00;0,0268
3796,00;0,0268
3795,00;0,0269
3794,00;0,0270
3793,00;0,0270
3792,00;0,0270
3791,00;0,0270
3790,00;0,0271
3789,00;0,0271
3788,00;0,0271
3787,00;0,0271
3786,00;0,0271
3785,00;0,0271
