Создан как новый массив данных;Образец 009 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0310
3999,00;0,0310
3998,00;0,0310
3997,00;0,0310
3996,00;0,0310
3995,00;0,0311
3994,00;0,0311
3993,00;0,0311
3992,00;0,0311
3991,00;0,0311
3990,00;0,0310
3989,00;0,0310
3988,00;0,0310
3987,00;0,0310
3986,00;0,0310
3985,00;0,0310
3984,00;0,0310
3983,00;0,0310
3982,00;0,0310
3981,00;0,0310
3980,00;0,0310
3979,00;0,0309
3978,00;0,0309
3977,00;0,0309
3976,00;0,0308
3975,00;0,0308
3974,00;0,0308
3973,00;0,0308
3972,00;0,0308
3971,00;0,0309
3970,00;0,0309
3969,00;0,0309
3968,00;0,0309
3967,00;0,0309
3966,00;0,0309
3965,00;0,0309
3964,00;0,0308
3963,00;0,0308
3962,00;0,0308
3961,00;0,0308
3960,00;0,0307
3959,00;0,0308
3958,00;0,0308
3957,00;0,0308
3956,00;0,0308
3955,00;0,0308
3954,00;0,0307
3953,00;0,0307
3952,00;0,0307
3951,00;0,0306
3950,00;0,0306
3949,00;0,0306
3948,00;0,0306
3947,00;0,0306
3946,00;0,0306
3945,00;0,0306
3944,00;0,0306
3943,00;0,0305
3942,00;0,0305
3941,00;0,0306
3940,00;0,0306
3939,00;0,0306
3938,00;0,0306
3937,00;0,0307
3936,00;0,0306
3935,00;0,0306
3934,00;0,0306
3933,00;0,0305
3932,00;0,0305
3931,00;0,0305
3930,00;0,0305
3929,00;0,0305
3928,00;0,0305
3927,00;0,0304
3926,00;0,0304
3925,00;0,0304
3924,00;0,0303
3923,00;0,0303
3922,00;0,0303
3921,00;0,0304
3920,00;0,0304
3919,00;0,0304
3918,00;0,0304
3917,00;0,0304
3916,00;0,0304
3915,00;0,0304
3914,00;0,0304
3913,00;0,0304
3912,00;0,0304
3911,00;0,0304
3910,00;0,0304
3909,00;0,0304
3908,00;0,0304
3907,00;0,0304
3906,00;0,0303
3905,00;0,0303
3904,00;0,0303
3903,00;0,0303
3902,00;0,0302
3901,00;0,0302
3900,00;0,0302
3899,00;0,0302
3898,00;0,0301
3897,00;0,0301
3896,00;0,0301
3895,00;0,0301
3894,00;0,0302
3893,00;0,0302
3892,00;0,0302
3891,00;0,0302
3890,00;0,0302
3889,00;0,0301
3888,00;0,0301
3887,00;0,0301
3886,00;0,0301
3885,00;0,0302
3884,00;0,0302
3883,00;0,0301
3882,00;0,0301
3881,00;0,0300
3880,00;0,0300
3879,00;0,0300
3878,00;0,0299
3877,00;0,0299
3876,00;0,0299
3875,00;0,0299
3874,00;0,0299
3873,00;0,0299
3872,00;0,0298
3871,00;0,0298
3870,00;0,0298
3869,00;0,0298
3868,00;0,0298
3867,00;0,0298
3866,00;0,0299
3865,00;0,0299
3864,00;0,0299
3863,00;0,0299
3862,00;0,0299
3861,00;0,0299
3860,00;0,0298
3859,00;0,0298
3858,00;0,0298
3857,00;0,0297
3856,00;0,0297
3855,00;0,0297
3854,00;0,0297
3853,00;0,0297
3852,00;0,0297
3851,00;0,0297
3850,00;0,0297
3849,00;0,0297
3848,00;0,0298
3847,00;0,0297
3846,00;0,0297
3845,00;0,0297
3844,00;0,0296
3843,00;0,0296
3842,00;0,0296
3841,00;0,0295
3840,00;0,0295
3839,00;0,0295
3838,00;0,0295
3837,00;0,0295
3836,00;0,0295
3835,00;0,0295
3834,00;0,0295
3833,00;0,0295
3832,00;0,0295
3831,00;0,0296
3830,00;0,0296
3829,00;0,0296
3828,00;0,0296
3827,00;0,0296
3826,00;0,0296
3825,00;0,0295
3824,00;0,0295
3823,00;0,0294
3822,00;0,0294
3821,00;0,0294
3820,00;0,0294
3819,00;0,0293
3818,00;0,0292
3817,00;0,0292
3816,00;0,0293
3815,00;0,0293
3814,00;0,0293
3813,00;0,0293
3812,00;0,0293
3811,00;0,0294
3810,00;0,0293
3809,00;0,0293
3808,00;0,0293
3807,00;0,0293
3806,00;0,0293
3805,00;0,0293
3804,00;0,0292
3803,00;0,0292
3802,00;0,0292
3801,00;0,0292
3800,00;0,0292
3799,00;0,0291
3798,00;0,0291
3797,00;0,0291
3796,00;0,0291
3795,00;0,0292
3794,00;0,0292
3793,00;0,0291
3792,00;0,0291
3791,00;0,0291
3790,00;0,0291
3789,00;0,0291
3788,00;0,0291
3787,00;0,0291
3786,00;0,0291
3785,00;0,0291
3784,00;0,0291
3783,00;0,0291
3782,00;0,0291
3781,00;0,0291
3780,00;0,0290
3779,00;0,0290
3778,00;0,0290
3777,00;0,0289
3776,00;0,0289
3775,00;0,0289
3774,00;0,0289
3773,00;0,0289
3772,00;0,0289
3771,00;0,0289
3770,00;0,0289
3769,00;0,0288
3768,00;0,0288
3767,00;0,0288
3766,00;0,0288
3765,00;0,0288
3764,00;0,0288
3763,00;0,0288
3762,00;0,0288
3761,00;0,0288
3760,00;0,0288
3759,00;0,0288
3758,00;0,0287
3757,00;0,0287
3756,00;0,0287
3755,00;0,0287
3754,00;0,0286
3753,00;0,0286
3752,00;0,0286
3751,00;0,0285
3750,00;0,0285
3749,00;0,0285
3748,00;0,0285
3747,00;0,0285
3746,00;0,0285
3745,00;0,0286
3744,00;0,0286
3743,00;0,0286
3742,00;0,0286
3741,00;0,0286
3740,00;0,0286
3739,00;0,0287
3738,00;0,0287
3737,00;0,0287
3736,00;0,0287
3735,00;0,0286
3734,00;0,0285
3733,00;0,0285
3732,00;0,0285
3731,00;0,0285
3730,00;0,0285
3729,00;0,0285
3728,00;0,0285
3727,00;0,0285
3726,00;0,0285
3725,00;0,0286
3724,00;0,0286
3723,00;0,0285
3722,00;0,0285
3721,00;0,0284
3720,00;0,0284
3719,00;0,0284
3718,00;0,0284
3717,00;0,0284
3716,00;0,0284
3715,00;0,0283
3714,00;0,0283
3713,00;0,0282
3712,00;0,0282
3711,00;0,0282
3710,00;0,0283
3709,00;0,0283
3708,00;0,0283
3707,00;0,0283
3706,00;0,0283
3705,00;0,0283
3704,00;0,0283
3703,00;0,0283
3702,00;0,0283
3701,00;0,0283
3700,00;0,0283
3699,00;0,0284
3698,00;0,0284
3697,00;0,0284
3696,00;0,0284
3695,00;0,0283
3694,00;0,0283
3693,00;0,0282
3692,00;0,0282
3691,00;0,0282
3690,00;0,0282
3689,00;0,0282
3688,00;0,0282
3687,00;0,0281
3686,00;0,0281
3685,00;0,0281
3684,00;0,0282
3683,00;0,0282
3682,00;0,0282
3681,00;0,0282
3680,00;0,0281
3679,00;0,0280
3678,00;0,0279
3677,00;0,0279
3676,00;0,0279
3675,00;0,0279
3674,00;0,0278
3673,00;0,0278
3672,00;0,0278
3671,00;0,0278
3670,00;0,0279
3669,00;0,0279
3668,00;0,0280
3667,00;0,0280
3666,00;0,0280
3665,00;0,0280
3664,00;0,0280
3663,00;0,0280
3662,00;0,0280
3661,00;0,0280
3660,00;0,0280
3659,00;0,0280
3658,00;0,0280
3657,00;0,0280
3656,00;0,0280
3655,00;0,0280
3654,00;0,0279
3653,00;0,0279
3652,00;0,0279
3651,00;0,0279
3650,00;0,0278
3649,00;0,0278
3648,00;0,0278
3647,00;0,0278
3646,00;0,0279
3645,00;0,0279
3644,00;0,0279
3643,00;0,0279
3642,00;0,0280
3641,00;0,0280
3640,00;0,0280
3639,00;0,0280
3638,00;0,0279
3637,00;0,0279
3636,00;0,0279
3635,00;0,0279
3634,00;0,0279
3633,00;0,0279
3632,00;0,0279
3631,00;0,0279
3630,00;0,0279
3629,00;0,0279
3628,00;0,0280
3627,00;0,0280
3626,00;0,0280
3625,00;0,0280
3624,00;0,0280
3623,00;0,0280
3622,00;0,0279
3621,00;0,0279
3620,00;0,0279
3619,00;0,0279
3618,00;0,0280
3617,00;0,0280
3616,00;0,0280
3615,00;0,0279
3614,00;0,0279
3613,00;0,0279
3612,00;0,0278
3611,00;0,0278
3610,00;0,0279
3609,00;0,0279
3608,00;0,0280
3607,00;0,0281
3606,00;0,0281
3605,00;0,0281
3604,00;0,0281
3603,00;0,0280
3602,00;0,0280
3601,00;0,0280
3600,00;0,0279
3599,00;0,0279
3598,00;0,0279
3597,00;0,0280
3596,00;0,0280
3595,00;0,0280
3594,00;0,0280
3593,00;0,0280
3592,00;0,0280
3591,00;0,0280
3590,00;0,0280
3589,00;0,0281
3588,00;0,0281
3587,00;0,0281
3586,00;0,0280
3585,00;0,0280
3584,00;0,0280
3583,00;0,0280
3582,00;0,0279
3581,00;0,0279
3580,00;0,0279
3579,00;0,0279
3578,00;0,0279
3577,00;0,0280
3576,00;0,0279
3575,00;0,0279
3574,00;0,0279
3573,00;0,0279
3572,00;0,0279
3571,00;0,0279
3570,00;0,0279
3569,00;0,0279
3568,00;0,0279
3567,00;0,0279
3566,00;0,0279
3565,00;0,0279
3564,00;0,0279
3563,00;0,0279
3562,00;0,0279
3561,00;0,0279
3560,00;0,0279
3559,00;0,0279
3558,00;0,0279
3557,00;0,0279
3556,00;0,0279
3555,00;0,0279
3554,00;0,0279
3553,00;0,0279
3552,00;0,0279
3551,00;0,0279
3550,00;0,0279
3549,00;0,0280
3548,00;0,0280
3547,00;0,0279
3546,00;0,0279
3545,00;0,0279
3544,00;0,0278
3543,00;0,0278
3542,00;0,0278
3541,00;0,0278
3540,00;0,0279
3539,00;0,0279
3538,00;0,0279
3537,00;0,0279
3536,00;0,0280
3535,00;0,0280
3534,00;0,0280
3533,00;0,0279
3532,00;0,0279
3531,00;0,0279
3530,00;0,0279
3529,00;0,0280
3528,00;0,0280
3527,00;0,0280
3526,00;0,0281
3525,00;0,0281
3524,00;0,0281
3523,00;0,0281
3522,00;0,0281
3521,00;0,0281
3520,00;0,0280
3519,00;0,0280
3518,00;0,0280
3517,00;0,0280
3516,00;0,0280
3515,00;0,0280
3514,00;0,0280
3513,00;0,0280
3512,00;0,0279
3511,00;0,0279
3510,00;0,0279
3509,00;0,0278
3508,00;0,0278
3507,00;0,0278
3506,00;0,0278
3505,00;0,0279
