Создан как новый массив данных;Образец 010 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0233
3999,00;0,0233
3998,00;0,0233
3997,00;0,0234
3996,00;0,0234
3995,00;0,0234
3994,00;0,0234
3993,00;0,0234
3992,00;0,0234
3991,00;0,0234
3990,00;0,0234
3989,00;0,0234
3988,00;0,0234
3987,00;0,0233
3986,00;0,0233
3985,00;0,0233
3984,00;0,0233
3983,00;0,0233
3982,00;0,0234
3981,00;0,0234
3980,00;0,0234
3979,00;0,0234
3978,00;0,0234
3977,00;0,0234
3976,00;0,0234
3975,00;0,0234
3974,00;0,0234
3973,00;0,0234
3972,00;0,0235
3971,00;0,0235
3970,00;0,0235
3969,00;0,0235
3968,00;0,0234
3967,00;0,0234
3966,00;0,0234
3965,00;0,0234
3964,00;0,0234
3963,00;0,0234
3962,00;0,0234
3961,00;0,0234
3960,00;0,0234
3959,00;0,0234
3958,00;0,0234
3957,00;0,0234
3956,00;0,0234
3955,00;0,0234
3954,00;0,0234
3953,00;0,0234
3952,00;0,0233
3951,00;0,0233
3950,00;0,0234
3949,00;0,0234
3948,00;0,0234
3947,00;0,0234
3946,00;0,0234
3945,00;0,0234
3944,00;0,0234
3943,00;0,0234
3942,00;0,0235
3941,00;0,0235
3940,00;0,0235
3939,00;0,0235
3938,00;0,0236
3937,00;0,0236
3936,00;0,0236
3935,00;0,0236
3934,00;0,0236
3933,00;0,0235
3932,00;0,0235
3931,00;0,0235
3930,00;0,0235
3929,00;0,0235
3928,00;0,0235
3927,00;0,0235
3926,00;0,0235
3925,00;0,0236
3924,00;0,0236
3923,00;0,0236
3922,00;0,0235
3921,00;0,0235
3920,00;0,0235
3919,00;0,0235
3918,00;0,0235
3917,00;0,0234
3916,00;0,0234
3915,00;0,0234
3914,00;0,0234
3913,00;0,0234
3912,00;0,0235
3911,00;0,0235
3910,00;0,0236
3909,00;0,0236
3908,00;0,0236
3907,00;0,0236
3906,00;0,0235
3905,00;0,0235
3904,00;0,0235
3903,00;0,0234
3902,00;0,0233
3901,00;0,0233
3900,00;0,0232
3899,00;0,0232
3898,00;0,0233
3897,00;0,0234
3896,00;0,0234
3895,00;0,0235
3894,00;0,0235
3893,00;0,0235
3892,00;0,0235
3891,00;0,0235
3890,00;0,0235
3889,00;0,0235
3888,00;0,0234
3887,00;0,0234
3886,00;0,0234
3885,00;0,0235
3884,00;0,0234
3883,00;0,0234
3882,00;0,0233
3881,00;0,0233
3880,00;0,0233
3879,00;0,0234
3878,00;0,0234
3877,00;0,0235
3876,00;0,0235
