Создан как новый массив данных;Образец 007 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0067
3999,00;0,0067
3998,00;0,0067
3997,00;0,0067
3996,00;0,0067
3995,00;0,0067
3994,00;0,0067
3993,00;0,0067
3992,00;0,0067
3991,00;0,0067
3990,00;0,0067
3989,00;0,0067
3988,00;0,0067
3987,00;0,0067
3986,00;0,0067
3985,00;0,0067
3984,00;0,0067
3983,00;0,0068
3982,00;0,0068
3981,00;0,0068
3980,00;0,0068
3979,00;0,0068
3978,00;0,0068
3977,00;0,0068
3976,00;0,0068
3975,00;0,0067
3974,00;0,0068
3973,00;0,0068
3972,00;0,0068
3971,00;0,0068
3970,00;0,0068
3969,00;0,0068
3968,00;0,0068
3967,00;0,0068
3966,00;0,0068
3965,00;0,0068
3964,00;0,0068
3963,00;0,0068
3962,00;0,0068
3961,00;0,0068
3960,00;0,0068
3959,00;0,0068
3958,00;0,0068
3957,00;0,0068
3956,00;0,0068
3955,00;0,0068
3954,00;0,0068
3953,00;0,0068
3952,00;0,0068
3951,00;0,0068
3950,00;0,0068
3949,00;0,0068
3948,00;0,0068
3947,00;0,0068
3946,00;0,0068
3945,00;0,0068
3944,00;0,0068
3943,00;0,0068
3942,00;0,0068
3941,00;0,0068
3940,00;0,0068
3939,00;0,0068
3938,00;0,0068
3937,00;0,0068
3936,00;0,0068
3935,00;0,0068
3934,00;0,0068
3933,00;0,0068
3932,00;0,0068
3931,00;0,0068
3930,00;0,0068
3929,00;0,0068
3928,00;0,0068
3927,00;0,0068
3926,00;0,0068
3925,00;0,0068
3924,00;0,0068
3923,00;0,0068
3922,00;0,0068
3921,00;0,0068
3920,00;0,0068
3919,00;0,0068
3918,00;0,0068
3917,00;0,0068
3916,00;0,0068
3915,00;0,0068
3914,00;0,0068
3913,00;0,0068
3912,00;0,0068
3911,00;0,0068
3910,00;0,0068
3909,00;0,0068
3908,00;0,0068
3907,00;0,0068
3906,00;0,0068
3905,00;0,0068
3904,00;0,0068
3903,00;0,0068
3902,00;0,0068
3901,00;0,0068
3900,00;0,0068
3899,00;0,0068
3898,00;0,0068
3897,00;0,0068
3896,00;0,0068
3895,00;0,0068
3894,00;0,0068
3893,00;0,0068
3892,00;0,0068
3891,00;0,0068
3890,00;0,0068
3889,00;0,0068
3888,00;0,0068
3887,00;0,0068
3886,00;0,0068
3885,00;0,0068
3884,00;0,0068
3883,00;0,0068
3882,00;0,0068
3881,00;0,0068
3880,00;0,0068
3879,00;0,0068
3878,00;0,0068
3877,00;0,0068
3876,00;0,0068
3875,00;0,0068
3874,00;0,0068
3873,00;0,0068
3872,00;0,0068
3871,00;0,0068
3870,00;0,0068
3869,00;0,0068
3868,00;0,0068
3867,00;0,0068
3866,00;0,0068
3865,00;0,0068
3864,00;0,0068
3863,00;0,0068
3862,00;0,0068
3861,00;0,0068
3860,00;0,0067
3859,00;0,0067
3858,00;0,0067
3857,00;0,0067
3856,00;0,0067
3855,00;0,0067
3854,00;0,0067
3853,00;0,0067
3852,00;0,0067
3851,00;0,0067
3850,00;0,0067
3849,00;0,0067
3848,00;0,0067
3847,00;0,0067
3846,00;0,0067
3845,00;0,0067
3844,00;0,0067
3843,00;0,0067
3842,00;0,0067
3841,00;0,0067
3840,00;0,0067
3839,00;0,0067
3838,00;0,0067
3837,00;0,0067
3836,00;0,0067
3835,00;0,0068
3834,00;0,0067
3833,00;0,0067
3832,00;0,0067
3831,00;0,0067
3830,00;0,0067
3829,00;0,0068
3828,00;0,0068
3827,00;0,0067
3826,00;0,0067
3825,00;0,0068
3824,00;0,0068
3823,00;0,0068
3822,00;0,0068
3821,00;0,0068
3820,00;0,0068
3819,00;0,0068
3818,00;0,0068
3817,00;0,0068
3816,00;0,0068
3815,00;0,0068
3814,00;0,0068
3813,00;0,0068
3812,00;0,0068
3811,00;0,0068
3810,00;0,0068
3809,00;0,0068
3808,00;0,0068
3807,00;0,0068
3806,00;0,0068
3805,00;0,0068
3804,00;0,0068
3803,00;0,0067
3802,00;0,0067
3801,00;0,0067
3800,00;0,0067
3799,00;0,0068
3798,00;0,0068
3797,00;0,0068
3796,00;0,0068
3795,00;0,0068
3794,00;0,0068
3793,00;0,0068
3792,00;0,0068
3791,00;0,0068
3790,00;0,0068
3789,00;0,0068
3788,00;0,0068
3787,00;0,0068
3786,00;0,0068
3785,00;0,0068
3784,00;0,0068
3783,00;0,0068
3782,00;0,0068
3781,00;0,0068
3780,00;0,0068
3779,00;0,0068
3778,00;0,0068
3777,00;0,0068
3776,00;0,0068
3775,00;0,0068
3774,00;0,0068
3773,00;0,0068
3772,00;0,0068
3771,00;0,0068
3770,00;0,0068
3769,00;0,0068
3768,00;0,0068
3767,00;0,0068
3766,00;0,0068
3765,00;0,0068
3764,00;0,0068
3763,00;0,0068
3762,00;0,0068
3761,00;0,0068
3760,00;0,0068
3759,00;0,0068
3758,00;0,0068
3757,00;0,0068
3756,00;0,0067
3755,00;0,0067
3754,00;0,0067
3753,00;0,0067
3752,00;0,0067
3751,00;0,0067
3750,00;0,0067
3749,00;0,0067
3748,00;0,0067
3747,00;0,0067
3746,00;0,0067
3745,00;0,0067
3744,00;0,0067
3743,00;0,0067
3742,00;0,0067
3741,00;0,0067
3740,00;0,0067
3739,00;0,0067
3738,00;0,0067
3737,00;0,0067
3736,00;0,0067
3735,00;0,0067
3734,00;0,0067
3733,00;0,0067
3732,00;0,0067
3731,00;0,0067
3730,00;0,0067
3729,00;0,0067
3728,00;0,0067
3727,00;0,0067
3726,00;0,0067
3725,00;0,0067
3724,00;0,0067
3723,00;0,0067
3722,00;0,0067
3721,00;0,0067
3720,00;0,0067
3719,00;0,0067
3718,00;0,0067
3717,00;0,0067
3716,00;0,0067
3715,00;0,0067
3714,00;0,0067
3713,00;0,0067
3712,00;0,0067
3711,00;0,0067
3710,00;0,0067
3709,00;0,0067
3708,00;0,0067
3707,00;0,0067
3706,00;0,0067
3705,00;0,0067
3704,00;0,0067
3703,00;0,0067
3702,00;0,0067
3701,00;0,0067
3700,00;0,0067
3699,00;0,0067
3698,00;0,0067
3697,00;0,0067
3696,00;0,0067
3695,00;0,0067
3694,00;0,0067
3693,00;0,0067
3692,00;0,0067
3691,00;0,0067
3690,00;0,0068
3689,00;0,0068
3688,00;0,0067
3687,00;0,0067
3686,00;0,0067
3685,00;0,0067
