Создан как новый массив данных;Образец 006 полученный BalashovM Дата понедельник, апреля 12 2021
cm-1;A
4000,00;0,0084
3999,00;0,0084
3998,00;0,0084
3997,00;0,0084
3996,00;0,0084
3995,00;0,0084
3994,00;0,0085
3993,00;0,0085
3992,00;0,0085
3991,00;0,0085
3990,00;0,0085
3989,00;0,0084
3988,00;0,0084
3987,00;0,0084
3986,00;0,0084
3985,00;0,0084
3984,00;0,0085
3983,00;0,0085
3982,00;0,0085
3981,00;0,0085
3980,00;0,0085
3979,00;0,0085
3978,00;0,0085
3977,00;0,0085
3976,00;0,0085
3975,00;0,0085
3974,00;0,0085
3973,00;0,0085
3972,00;0,0085
3971,00;0,0085
3970,00;0,0085
3969,00;0,0085
3968,00;0,0085
3967,00;0,0085
3966,00;0,0085
3965,00;0,0085
3964,00;0,0085
3963,00;0,0085
3962,00;0,0085
3961,00;0,0085
3960,00;0,0086
3959,00;0,0086
3958,00;0,0086
3957,00;0,0086
3956,00;0,0086
3955,00;0,0086
3954,00;0,0086
3953,00;0,0086
3952,00;0,0086
3951,00;0,0086
3950,00;0,0086
3949,00;0,0086
3948,00;0,0086
3947,00;0,0086
3946,00;0,0086
3945,00;0,0086
3944,00;0,0086
3943,00;0,0086
3942,00;0,0086
3941,00;0,0086
3940,00;0,0086
3939,00;0,0086
3938,00;0,0086
3937,00;0,0086
3936,00;0,0086
3935,00;0,0086
3934,00;0,0086
3933,00;0,0086
3932,00;0,0086
3931,00;0,0086
3930,00;0,0086
3929,00;0,0086
3928,00;0,0086
3927,00;0,0086
3926,00;0,0086
3925,00;0,0086
3924,00;0,0086
3923,00;0,0086
3922,00;0,0086
3921,00;0,0086
3920,00;0,0086
3919,00;0,0086
3918,00;0,0086
3917,00;0,0086
3916,00;0,0086
3915,00;0,0086
3914,00;0,0086
3913,00;0,0086
3912,00;0,0086
3911,00;0,0086
3910,00;0,0086
3909,00;0,0086
3908,00;0,0086
3907,00;0,0086
3906,00;0,0086
3905,00;0,0086
3904,00;0,0086
3903,00;0,0086
3902,00;0,0086
3901,00;0,0086
3900,00;0,0086
3899,00;0,0086
3898,00;0,0086
3897,00;0,0086
3896,00;0,0086
3895,00;0,0086
3894,00;0,0086
3893,00;0,0086
3892,00;0,0086
3891,00;0,0086
3890,00;0,0086
3889,00;0,0086
3888,00;0,0086
3887,00;0,0086
3886,00;0,0086
3885,00;0,0086
3884,00;0,0086
3883,00;0,0086
3882,00;0,0086
3881,00;0,0086
3880,00;0,0086
3879,00;0,0086
3878,00;0,0086
3877,00;0,0086
3876,00;0,0087
3875,00;0,0087
3874,00;0,0086
3873,00;0,0086
3872,00;0,0087
3871,00;0,0087
3870,00;0,0087
3869,00;0,0087
3868,00;0,0087
3867,00;0,0087
3866,00;0,0087
3865,00;0,0087
3864,00;0,0087
3863,00;0,0087
3862,00;0,0087
3861,00;0,0087
3860,00;0,0087
3859,00;0,0087
3858,00;0,0087
3857,00;0,0087
3856,00;0,0087
3855,00;0,0087
3854,00;0,0087
3853,00;0,0087
3852,00;0,0087
3851,00;0,0087
3850,00;0,0087
3849,00;0,0087
3848,00;0,0087
3847,00;0,0087
3846,00;0,0087
3845,00;0,0087
3844,00;0,0087
3843,00;0,0087
3842,00;0,0087
3841,00;0,0087
3840,00;0,0087
3839,00;0,0087
3838,00;0,0087
3837,00;0,0087
3836,00;0,0087
3835,00;0,0087
3834,00;0,0087
3833,00;0,0087
3832,00;0,0087
3831,00;0,0087
3830,00;0,0087
3829,00;0,0087
3828,00;0,0087
3827,00;0,0087
3826,00;0,0087
3825,00;0,0087
3824,00;0,0087
3823,00;0,0088
3822,00;0,0088
3821,00;0,0087
3820,00;0,0087
3819,00;0,0087
3818,00;0,0087
3817,00;0,0087
3816,00;0,0087
3815,00;0,0087
3814,00;0,0087
3813,00;0,0087
3812,00;0,0087
3811,00;0,0087
3810,00;0,0087
3809,00;0,0087
3808,00;0,0087
3807,00;0,0087
3806,00;0,0087
3805,00;0,0087
3804,00;0,0087
3803,00;0,0087
3802,00;0,0087
3801,00;0,0087
3800,00;0,0087
3799,00;0,0087
3798,00;0,0087
3797,00;0,0087
3796,00;0,0087
3795,00;0,0087
3794,00;0,0087
3793,00;0,0087
3792,00;0,0087
3791,00;0,0087
3790,00;0,0087
3789,00;0,0087
3788,00;0,0087
3787,00;0,0087
3786,00;0,0087
3785,00;0,0087
3784,00;0,0087
3783,00;0,0087
3782,00;0,0087
3781,00;0,0087
3780,00;0,0087
3779,00;0,0087
3778,00;0,0087
3777,00;0,0087
3776,00;0,0087
3775,00;0,0087
3774,00;0,0087
3773,00;0,0087
3772,00;0,0087
3771,00;0,0087
3770,00;0,0087
3769,00;0,0087
3768,00;0,0087
3767,00;0,0087
3766,00;0,0087
3765,00;0,0087
3764,00;0,0087
3763,00;0,0087
3762,00;0,0087
3761,00;0,0087
3760,00;0,0087
3759,00;0,0087
3758,00;0,0087
3757,00;0,0087
3756,00;0,0087
3755,00;0,0087
3754,00;0,0087
3753,00;0,0087
3752,00;0,0087
3751,00;0,0087
3750,00;0,0087
3749,00;0,0087
3748,00;0,0087
3747,00;0,0087
3746,00;0,0087
3745,00;0,0087
3744,00;0,0087
3743,00;0,0087
3742,00;0,0087
3741,00;0,0087
3740,00;0,0087
3739,00;0,0087
3738,00;0,0087
3737,00;0,0087
3736,00;0,0087
3735,00;0,0087
3734,00;0,0087
3733,00;0,0087
3732,00;0,0087
3731,00;0,0087
3730,00;0,0087
3729,00;0,0087
3728,00;0,0087
3727,00;0,0087
3726,00;0,0087
3725,00;0,0087
3724,00;0,0086
3723,00;0,0086
3722,00;0,0086
3721,00;0,0086
3720,00;0,0086
3719,00;0,0086
3718,00;0,0086
3717,00;0,0086
3716,00;0,0086
3715,00;0,0086
3714,00;0,0086
3713,00;0,0086
3712,00;0,0086
3711,00;0,0086
3710,00;0,0086
3709,00;0,0086
3708,00;0,0086
3707,00;0,0086
3706,00;0,0086
3705,00;0,0086
3704,00;0,0086
3703,00;0,0086
3702,00;0,0085
3701,00;0,0085
3700,00;0,0085
3699,00;0,0085
3698,00;0,0085
3697,00;0,0085
3696,00;0,0084
3695,00;0,0084
3694,00;0,0084
3693,00;0,0084
3692,00;0,0084
3691,00;0,0084
3690,00;0,0084
3689,00;0,0084
3688,00;0,0084
3687,00;0,0084
3686,00;0,0084
3685,00;0,0085
3684,00;0,0085
3683,00;0,0085
3682,00;0,0085
3681,00;0,0085
3680,00;0,0085
3679,00;0,0085
3678,00;0,0085
3677,00;0,0085
3676,00;0,0085
3675,00;0,0085
3674,00;0,0085
3673,00;0,0085
3672,00;0,0086
3671,00;0,0086
3670,00;0,0086
3669,00;0,0086
3668,00;0,0086
3667,00;0,0086
3666,00;0,0087
3665,00;0,0087
3664,00;0,0087
3663,00;0,0087
3662,00;0,0087
3661,00;0,0088
3660,00;0,0088
3659,00;0,0088
3658,00;0,0089
3657,00;0,0089
3656,00;0,0089
3655,00;0,0090
3654,00;0,0090
3653,00;0,0090
3652,00;0,0091
3651,00;0,0091
3650,00;0,0092
3649,00;0,0093
3648,00;0,0093
3647,00;0,0093
3646,00;0,0094
