Создан как новый массив данных;Образец 009 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
4000,00;0,0163
3999,00;0,0163
3998,00;0,0163
3997,00;0,0163
3996,00;0,0163
3995,00;0,0163
3994,00;0,0163
3993,00;0,0163
3992,00;0,0163
3991,00;0,0163
3990,00;0,0163
3989,00;0,0163
3988,00;0,0163
3987,00;0,0163
3986,00;0,0163
3985,00;0,0163
3984,00;0,0163
3983,00;0,0163
3982,00;0,0163
3981,00;0,0163
3980,00;0,0163
3979,00;0,0163
3978,00;0,0163
3977,00;0,0163
3976,00;0,0163
3975,00;0,0164
3974,00;0,0164
3973,00;0,0164
3972,00;0,0164
3971,00;0,0163
3970,00;0,0163
3969,00;0,0163
3968,00;0,0164
3967,00;0,0164
3966,00;0,0164
3965,00;0,0164
3964,00;0,0164
3963,00;0,0164
3962,00;0,0164
3961,00;0,0164
3960,00;0,0164
3959,00;0,0164
3958,00;0,0164
3957,00;0,0164
3956,00;0,0164
3955,00;0,0164
3954,00;0,0164
3953,00;0,0164
3952,00;0,0164
3951,00;0,0164
3950,00;0,0164
3949,00;0,0164
3948,00;0,0164
3947,00;0,0164
3946,00;0,0164
3945,00;0,0164
3944,00;0,0164
3943,00;0,0164
3942,00;0,0164
3941,00;0,0164
3940,00;0,0164
3939,00;0,0164
3938,00;0,0164
3937,00;0,0164
3936,00;0,0164
3935,00;0,0164
3934,00;0,0164
3933,00;0,0164
3932,00;0,0164
3931,00;0,0164
3930,00;0,0164
3929,00;0,0164
3928,00;0,0165
3927,00;0,0165
3926,00;0,0165
3925,00;0,0165
3924,00;0,0165
3923,00;0,0165
3922,00;0,0165
3921,00;0,0165
3920,00;0,0165
3919,00;0,0165
3918,00;0,0165
3917,00;0,0165
3916,00;0,0165
3915,00;0,0165
3914,00;0,0165
3913,00;0,0165
3912,00;0,0165
3911,00;0,0165
3910,00;0,0165
3909,00;0,0165
3908,00;0,0165
3907,00;0,0165
3906,00;0,0165
3905,00;0,0165
3904,00;0,0165
3903,00;0,0165
3902,00;0,0165
3901,00;0,0165
3900,00;0,0165
3899,00;0,0165
3898,00;0,0165
3897,00;0,0165
3896,00;0,0165
3895,00;0,0165
3894,00;0,0165
3893,00;0,0165
3892,00;0,0165
3891,00;0,0165
3890,00;0,0165
3889,00;0,0165
3888,00;0,0165
3887,00;0,0165
3886,00;0,0165
3885,00;0,0165
3884,00;0,0165
3883,00;0,0165
3882,00;0,0165
3881,00;0,0165
3880,00;0,0165
3879,00;0,0165
3878,00;0,0165
3877,00;0,0165
3876,00;0,0165
3875,00;0,0165
3874,00;0,0165
3873,00;0,0165
3872,00;0,0165
3871,00;0,0165
3870,00;0,0165
3869,00;0,0165
3868,00;0,0165
3867,00;0,0165
3866,00;0,0165
3865,00;0,0165
3864,00;0,0165
3863,00;0,0165
3862,00;0,0165
3861,00;0,0165
3860,00;0,0165
3859,00;0,0165
3858,00;0,0165
3857,00;0,0165
3856,00;0,0165
3855,00;0,0164
3854,00;0,0164
3853,00;0,0164
3852,00;0,0165
3851,00;0,0165
3850,00;0,0165
3849,00;0,0165
3848,00;0,0165
3847,00;0,0166
3846,00;0,0166
3845,00;0,0166
3844,00;0,0165
3843,00;0,0165
3842,00;0,0165
3841,00;0,0165
3840,00;0,0165
3839,00;0,0165
3838,00;0,0165
3837,00;0,0165
3836,00;0,0165
3835,00;0,0165
3834,00;0,0165
3833,00;0,0165
3832,00;0,0165
3831,00;0,0165
3830,00;0,0165
3829,00;0,0165
3828,00;0,0165
3827,00;0,0165
3826,00;0,0165
3825,00;0,0165
3824,00;0,0165
3823,00;0,0165
3822,00;0,0165
3821,00;0,0165
3820,00;0,0165
3819,00;0,0165
3818,00;0,0165
3817,00;0,0165
3816,00;0,0165
3815,00;0,0165
3814,00;0,0165
3813,00;0,0165
3812,00;0,0165
3811,00;0,0165
3810,00;0,0165
3809,00;0,0165
3808,00;0,0165
3807,00;0,0165
3806,00;0,0165
3805,00;0,0165
3804,00;0,0165
3803,00;0,0165
3802,00;0,0165
3801,00;0,0165
3800,00;0,0165
3799,00;0,0165
3798,00;0,0165
3797,00;0,0165
3796,00;0,0165
3795,00;0,0165
3794,00;0,0165
3793,00;0,0165
3792,00;0,0165
3791,00;0,0165
3790,00;0,0165
3789,00;0,0165
3788,00;0,0165
3787,00;0,0165
3786,00;0,0164
3785,00;0,0164
3784,00;0,0164
3783,00;0,0164
3782,00;0,0164
3781,00;0,0165
3780,00;0,0165
3779,00;0,0165
3778,00;0,0165
3777,00;0,0165
3776,00;0,0165
3775,00;0,0165
3774,00;0,0164
3773,00;0,0164
3772,00;0,0164
3771,00;0,0164
3770,00;0,0164
3769,00;0,0164
3768,00;0,0164
3767,00;0,0165
3766,00;0,0165
3765,00;0,0165
3764,00;0,0165
3763,00;0,0165
3762,00;0,0165
3761,00;0,0165
3760,00;0,0165
3759,00;0,0165
3758,00;0,0164
3757,00;0,0164
3756,00;0,0164
3755,00;0,0164
3754,00;0,0164
3753,00;0,0164
3752,00;0,0164
3751,00;0,0164
3750,00;0,0165
3749,00;0,0165
3748,00;0,0165
3747,00;0,0165
3746,00;0,0165
3745,00;0,0165
3744,00;0,0165
3743,00;0,0165
3742,00;0,0165
3741,00;0,0165
3740,00;0,0165
3739,00;0,0165
3738,00;0,0165
3737,00;0,0165
3736,00;0,0165
3735,00;0,0165
3734,00;0,0165
3733,00;0,0165
3732,00;0,0165
3731,00;0,0165
3730,00;0,0164
3729,00;0,0164
3728,00;0,0164
3727,00;0,0164
3726,00;0,0164
3725,00;0,0164
3724,00;0,0164
3723,00;0,0164
3722,00;0,0164
3721,00;0,0164
3720,00;0,0164
3719,00;0,0164
3718,00;0,0164
3717,00;0,0163
3716,00;0,0163
3715,00;0,0163
3714,00;0,0163
3713,00;0,0163
3712,00;0,0163
3711,00;0,0163
3710,00;0,0163
3709,00;0,0163
3708,00;0,0163
3707,00;0,0163
3706,00;0,0163
3705,00;0,0163
3704,00;0,0163
3703,00;0,0163
3702,00;0,0163
3701,00;0,0163
3700,00;0,0163
3699,00;0,0163
3698,00;0,0163
3697,00;0,0163
3696,00;0,0163
3695,00;0,0163
3694,00;0,0163
3693,00;0,0163
3692,00;0,0163
3691,00;0,0163
3690,00;0,0163
3689,00;0,0163
3688,00;0,0163
3687,00;0,0163
3686,00;0,0163
3685,00;0,0163
3684,00;0,0163
3683,00;0,0163
3682,00;0,0163
3681,00;0,0163
3680,00;0,0163
3679,00;0,0163
3678,00;0,0163
3677,00;0,0163
3676,00;0,0163
3675,00;0,0163
3674,00;0,0163
3673,00;0,0163
3672,00;0,0163
3671,00;0,0163
3670,00;0,0163
3669,00;0,0163
3668,00;0,0163
3667,00;0,0163
3666,00;0,0163
3665,00;0,0163
3664,00;0,0163
3663,00;0,0163
3662,00;0,0163
3661,00;0,0163
3660,00;0,0163
3659,00;0,0163
3658,00;0,0163
3657,00;0,0163
3656,00;0,0163
3655,00;0,0163
3654,00;0,0163
3653,00;0,0163
3652,00;0,0163
3651,00;0,0163
3650,00;0,0163
3649,00;0,0163
3648,00;0,0164
3647,00;0,0164
3646,00;0,0164
3645,00;0,0164
3644,00;0,0165
3643,00;0,0165
3642,00;0,0165
3641,00;0,0165
3640,00;0,0164
3639,00;0,0165
3638,00;0,0165
3637,00;0,0165
3636,00;0,0165
3635,00;0,0166
3634,00;0,0166
3633,00;0,0166
3632,00;0,0166
3631,00;0,0166
3630,00;0,0167
3629,00;0,0167
3628,00;0,0167
3627,00;0,0167
3626,00;0,0168
3625,00;0,0168
3624,00;0,0168
3623,00;0,0168
3622,00;0,0168
3621,00;0,0168
3620,00;0,0168
3619,00;0,0169
3618,00;0,0169
3617,00;0,0170
3616,00;0,0170
3615,00;0,0170
3614,00;0,0171
3613,00;0,0171
3612,00;0,0171
3611,00;0,0172
