Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
4000,00;0,0434
3999,00;0,0434
3998,00;0,0434
3997,00;0,0434
3996,00;0,0434
3995,00;0,0434
3994,00;0,0434
3993,00;0,0434
3992,00;0,0434
3991,00;0,0434
3990,00;0,0434
3989,00;0,0434
3988,00;0,0434
3987,00;0,0434
3986,00;0,0434
3985,00;0,0434
3984,00;0,0434
3983,00;0,0434
3982,00;0,0434
3981,00;0,0434
3980,00;0,0434
3979,00;0,0434
3978,00;0,0434
3977,00;0,0434
3976,00;0,0434
3975,00;0,0434
3974,00;0,0434
3973,00;0,0434
3972,00;0,0434
3971,00;0,0434
3970,00;0,0434
3969,00;0,0434
3968,00;0,0434
3967,00;0,0434
3966,00;0,0434
3965,00;0,0434
3964,00;0,0434
3963,00;0,0434
3962,00;0,0434
3961,00;0,0434
3960,00;0,0434
3959,00;0,0434
3958,00;0,0434
3957,00;0,0434
3956,00;0,0434
3955,00;0,0434
3954,00;0,0434
3953,00;0,0434
3952,00;0,0434
3951,00;0,0434
3950,00;0,0434
3949,00;0,0434
3948,00;0,0434
3947,00;0,0434
3946,00;0,0434
3945,00;0,0434
3944,00;0,0434
3943,00;0,0434
3942,00;0,0434
3941,00;0,0434
3940,00;0,0434
3939,00;0,0434
3938,00;0,0434
3937,00;0,0434
3936,00;0,0434
3935,00;0,0434
3934,00;0,0434
3933,00;0,0434
3932,00;0,0434
3931,00;0,0434
3930,00;0,0434
3929,00;0,0434
3928,00;0,0434
3927,00;0,0434
3926,00;0,0434
3925,00;0,0434
3924,00;0,0435
3923,00;0,0435
3922,00;0,0435
3921,00;0,0435
3920,00;0,0435
3919,00;0,0435
3918,00;0,0435
3917,00;0,0435
3916,00;0,0435
3915,00;0,0434
3914,00;0,0434
3913,00;0,0434
3912,00;0,0434
3911,00;0,0435
3910,00;0,0435
3909,00;0,0435
3908,00;0,0435
3907,00;0,0435
3906,00;0,0435
