Создан как новый массив данных;Образец 016 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0237
3999,00;0,0237
3998,00;0,0237
3997,00;0,0237
3996,00;0,0237
3995,00;0,0237
3994,00;0,0237
3993,00;0,0237
3992,00;0,0237
3991,00;0,0237
3990,00;0,0237
3989,00;0,0237
3988,00;0,0237
3987,00;0,0237
3986,00;0,0237
3985,00;0,0237
3984,00;0,0237
3983,00;0,0237
3982,00;0,0237
3981,00;0,0237
3980,00;0,0237
3979,00;0,0237
3978,00;0,0237
3977,00;0,0237
3976,00;0,0237
3975,00;0,0237
3974,00;0,0237
3973,00;0,0237
3972,00;0,0238
3971,00;0,0238
3970,00;0,0238
3969,00;0,0238
3968,00;0,0238
3967,00;0,0238
3966,00;0,0238
3965,00;0,0238
3964,00;0,0238
3963,00;0,0238
3962,00;0,0238
3961,00;0,0238
3960,00;0,0238
3959,00;0,0238
3958,00;0,0238
3957,00;0,0238
3956,00;0,0238
3955,00;0,0238
3954,00;0,0238
3953,00;0,0238
3952,00;0,0239
3951,00;0,0239
3950,00;0,0239
3949,00;0,0239
3948,00;0,0239
3947,00;0,0239
3946,00;0,0239
3945,00;0,0239
3944,00;0,0239
3943,00;0,0239
3942,00;0,0239
3941,00;0,0239
3940,00;0,0239
3939,00;0,0239
3938,00;0,0239
3937,00;0,0239
3936,00;0,0239
3935,00;0,0239
3934,00;0,0239
3933,00;0,0239
3932,00;0,0239
3931,00;0,0239
3930,00;0,0239
3929,00;0,0239
3928,00;0,0239
3927,00;0,0239
3926,00;0,0240
3925,00;0,0240
3924,00;0,0240
3923,00;0,0240
3922,00;0,0240
3921,00;0,0240
3920,00;0,0240
3919,00;0,0240
3918,00;0,0240
3917,00;0,0240
3916,00;0,0240
3915,00;0,0240
3914,00;0,0240
3913,00;0,0240
3912,00;0,0240
3911,00;0,0240
3910,00;0,0240
3909,00;0,0240
3908,00;0,0240
3907,00;0,0240
3906,00;0,0240
3905,00;0,0240
3904,00;0,0240
3903,00;0,0240
3902,00;0,0240
3901,00;0,0240
3900,00;0,0241
3899,00;0,0241
3898,00;0,0241
3897,00;0,0241
3896,00;0,0241
3895,00;0,0241
3894,00;0,0241
3893,00;0,0241
3892,00;0,0241
3891,00;0,0241
3890,00;0,0241
3889,00;0,0241
3888,00;0,0241
3887,00;0,0241
3886,00;0,0241
3885,00;0,0241
3884,00;0,0241
3883,00;0,0241
3882,00;0,0241
3881,00;0,0241
3880,00;0,0241
3879,00;0,0241
3878,00;0,0241
3877,00;0,0241
3876,00;0,0241
3875,00;0,0241
3874,00;0,0241
3873,00;0,0241
3872,00;0,0241
3871,00;0,0241
3870,00;0,0241
3869,00;0,0241
3868,00;0,0241
3867,00;0,0241
3866,00;0,0241
3865,00;0,0241
3864,00;0,0241
3863,00;0,0241
3862,00;0,0241
3861,00;0,0241
3860,00;0,0241
3859,00;0,0241
3858,00;0,0241
3857,00;0,0241
3856,00;0,0241
3855,00;0,0241
3854,00;0,0241
3853,00;0,0241
3852,00;0,0241
3851,00;0,0241
3850,00;0,0242
3849,00;0,0242
3848,00;0,0242
3847,00;0,0242
3846,00;0,0242
3845,00;0,0242
3844,00;0,0242
3843,00;0,0242
3842,00;0,0242
3841,00;0,0242
3840,00;0,0242
3839,00;0,0242
3838,00;0,0242
3837,00;0,0242
3836,00;0,0242
3835,00;0,0242
3834,00;0,0242
3833,00;0,0242
3832,00;0,0242
3831,00;0,0242
3830,00;0,0242
3829,00;0,0242
3828,00;0,0242
3827,00;0,0242
3826,00;0,0242
3825,00;0,0242
3824,00;0,0242
3823,00;0,0243
3822,00;0,0243
3821,00;0,0243
3820,00;0,0242
3819,00;0,0242
3818,00;0,0242
3817,00;0,0242
3816,00;0,0242
3815,00;0,0242
3814,00;0,0242
3813,00;0,0242
3812,00;0,0242
3811,00;0,0242
3810,00;0,0242
3809,00;0,0242
3808,00;0,0242
3807,00;0,0242
3806,00;0,0242
3805,00;0,0242
3804,00;0,0242
3803,00;0,0242
3802,00;0,0242
3801,00;0,0242
3800,00;0,0242
3799,00;0,0242
3798,00;0,0242
3797,00;0,0242
3796,00;0,0242
3795,00;0,0242
3794,00;0,0242
3793,00;0,0242
3792,00;0,0242
3791,00;0,0242
3790,00;0,0242
3789,00;0,0242
3788,00;0,0242
3787,00;0,0242
3786,00;0,0242
3785,00;0,0242
3784,00;0,0242
3783,00;0,0242
3782,00;0,0242
3781,00;0,0242
3780,00;0,0242
3779,00;0,0242
3778,00;0,0242
3777,00;0,0242
3776,00;0,0242
3775,00;0,0242
3774,00;0,0242
3773,00;0,0242
3772,00;0,0242
3771,00;0,0242
3770,00;0,0242
3769,00;0,0242
3768,00;0,0242
3767,00;0,0242
3766,00;0,0242
3765,00;0,0242
3764,00;0,0242
3763,00;0,0242
3762,00;0,0242
3761,00;0,0242
3760,00;0,0242
3759,00;0,0242
3758,00;0,0242
3757,00;0,0242
3756,00;0,0242
3755,00;0,0242
3754,00;0,0243
3753,00;0,0243
3752,00;0,0243
3751,00;0,0242
3750,00;0,0242
3749,00;0,0242
3748,00;0,0242
3747,00;0,0242
3746,00;0,0242
3745,00;0,0242
3744,00;0,0242
3743,00;0,0242
3742,00;0,0242
3741,00;0,0242
3740,00;0,0242
3739,00;0,0242
3738,00;0,0242
3737,00;0,0242
3736,00;0,0242
3735,00;0,0242
3734,00;0,0242
3733,00;0,0242
3732,00;0,0242
3731,00;0,0242
3730,00;0,0242
3729,00;0,0241
3728,00;0,0241
3727,00;0,0241
3726,00;0,0241
3725,00;0,0241
3724,00;0,0241
3723,00;0,0241
3722,00;0,0241
3721,00;0,0241
3720,00;0,0241
3719,00;0,0241
3718,00;0,0241
3717,00;0,0241
3716,00;0,0241
3715,00;0,0241
3714,00;0,0241
3713,00;0,0241
3712,00;0,0241
3711,00;0,0241
3710,00;0,0241
3709,00;0,0241
3708,00;0,0241
3707,00;0,0241
3706,00;0,0242
3705,00;0,0242
3704,00;0,0241
3703,00;0,0241
3702,00;0,0241
3701,00;0,0240
3700,00;0,0240
3699,00;0,0240
3698,00;0,0240
3697,00;0,0240
3696,00;0,0241
3695,00;0,0241
3694,00;0,0241
3693,00;0,0241
3692,00;0,0241
3691,00;0,0241
3690,00;0,0241
3689,00;0,0241
3688,00;0,0242
3687,00;0,0242
3686,00;0,0242
3685,00;0,0242
3684,00;0,0242
3683,00;0,0242
3682,00;0,0242
3681,00;0,0242
3680,00;0,0242
3679,00;0,0242
3678,00;0,0242
3677,00;0,0242
3676,00;0,0243
3675,00;0,0243
3674,00;0,0243
3673,00;0,0243
3672,00;0,0244
3671,00;0,0244
3670,00;0,0243
3669,00;0,0243
3668,00;0,0243
3667,00;0,0243
3666,00;0,0243
3665,00;0,0243
3664,00;0,0243
3663,00;0,0244
3662,00;0,0244
3661,00;0,0244
3660,00;0,0244
3659,00;0,0244
3658,00;0,0244
3657,00;0,0244
3656,00;0,0244
3655,00;0,0244
3654,00;0,0244
3653,00;0,0244
3652,00;0,0244
3651,00;0,0244
3650,00;0,0244
3649,00;0,0245
3648,00;0,0245
3647,00;0,0245
3646,00;0,0244
3645,00;0,0244
3644,00;0,0244
3643,00;0,0244
3642,00;0,0244
3641,00;0,0244
3640,00;0,0244
3639,00;0,0244
3638,00;0,0244
3637,00;0,0244
3636,00;0,0243
3635,00;0,0243
3634,00;0,0243
3633,00;0,0243
3632,00;0,0243
3631,00;0,0243
3630,00;0,0243
3629,00;0,0243
3628,00;0,0244
3627,00;0,0244
3626,00;0,0244
3625,00;0,0244
3624,00;0,0244
3623,00;0,0245
3622,00;0,0245
3621,00;0,0245
3620,00;0,0245
3619,00;0,0245
3618,00;0,0245
3617,00;0,0245
3616,00;0,0245
3615,00;0,0245
3614,00;0,0245
3613,00;0,0245
3612,00;0,0245
3611,00;0,0245
3610,00;0,0245
3609,00;0,0245
3608,00;0,0246
3607,00;0,0246
3606,00;0,0246
3605,00;0,0246
3604,00;0,0246
3603,00;0,0246
3602,00;0,0247
3601,00;0,0247
3600,00;0,0247
3599,00;0,0247
3598,00;0,0247
3597,00;0,0247
3596,00;0,0247
3595,00;0,0247
3594,00;0,0247
3593,00;0,0247
3592,00;0,0248
3591,00;0,0248
3590,00;0,0248
3589,00;0,0248
3588,00;0,0248
3587,00;0,0248
3586,00;0,0248
3585,00;0,0248
3584,00;0,0249
3583,00;0,0249
3582,00;0,0249
3581,00;0,0249
3580,00;0,0249
3579,00;0,0249
3578,00;0,0249
3577,00;0,0249
3576,00;0,0249
3575,00;0,0250
3574,00;0,0250
3573,00;0,0250
3572,00;0,0250
3571,00;0,0250
3570,00;0,0250
3569,00;0,0251
3568,00;0,0251
3567,00;0,0251
3566,00;0,0251
3565,00;0,0251
3564,00;0,0251
3563,00;0,0251
3562,00;0,0251
3561,00;0,0252
3560,00;0,0252
3559,00;0,0252
3558,00;0,0252
3557,00;0,0252
3556,00;0,0252
3555,00;0,0252
3554,00;0,0253
3553,00;0,0253
3552,00;0,0253
3551,00;0,0253
3550,00;0,0253
3549,00;0,0253
3548,00;0,0253
3547,00;0,0254
3546,00;0,0254
3545,00;0,0254
3544,00;0,0254
3543,00;0,0254
3542,00;0,0254
3541,00;0,0254
3540,00;0,0254
3539,00;0,0255
3538,00;0,0255
3537,00;0,0255
3536,00;0,0255
3535,00;0,0255
3534,00;0,0255
3533,00;0,0256
3532,00;0,0256
3531,00;0,0256
3530,00;0,0256
3529,00;0,0256
3528,00;0,0256
3527,00;0,0256
3526,00;0,0256
3525,00;0,0257
3524,00;0,0257
3523,00;0,0257
3522,00;0,0257
3521,00;0,0257
3520,00;0,0257
3519,00;0,0257
3518,00;0,0257
3517,00;0,0257
3516,00;0,0257
3515,00;0,0257
3514,00;0,0258
3513,00;0,0258
3512,00;0,0258
3511,00;0,0258
3510,00;0,0258
3509,00;0,0258
3508,00;0,0258
3507,00;0,0258
3506,00;0,0258
3505,00;0,0259
3504,00;0,0259
3503,00;0,0259
3502,00;0,0259
3501,00;0,0259
3500,00;0,0259
3499,00;0,0259
