Создан как новый массив данных;Образец 014 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0573
3999,00;0,0573
3998,00;0,0573
3997,00;0,0573
3996,00;0,0573
3995,00;0,0573
3994,00;0,0573
3993,00;0,0573
3992,00;0,0573
3991,00;0,0573
3990,00;0,0573
3989,00;0,0573
3988,00;0,0573
3987,00;0,0573
3986,00;0,0573
3985,00;0,0574
3984,00;0,0574
3983,00;0,0573
3982,00;0,0573
3981,00;0,0573
3980,00;0,0573
3979,00;0,0573
3978,00;0,0573
3977,00;0,0574
3976,00;0,0574
3975,00;0,0574
3974,00;0,0574
3973,00;0,0574
3972,00;0,0574
3971,00;0,0574
3970,00;0,0574
3969,00;0,0574
3968,00;0,0574
3967,00;0,0574
3966,00;0,0574
3965,00;0,0574
3964,00;0,0574
3963,00;0,0574
3962,00;0,0574
3961,00;0,0574
3960,00;0,0574
3959,00;0,0574
3958,00;0,0574
3957,00;0,0574
3956,00;0,0574
3955,00;0,0574
3954,00;0,0574
3953,00;0,0574
3952,00;0,0574
3951,00;0,0574
3950,00;0,0574
3949,00;0,0574
3948,00;0,0574
3947,00;0,0574
3946,00;0,0574
3945,00;0,0574
3944,00;0,0574
3943,00;0,0574
3942,00;0,0574
3941,00;0,0574
3940,00;0,0574
3939,00;0,0574
3938,00;0,0574
3937,00;0,0574
3936,00;0,0574
3935,00;0,0574
3934,00;0,0574
3933,00;0,0575
3932,00;0,0575
3931,00;0,0575
3930,00;0,0575
3929,00;0,0575
3928,00;0,0575
3927,00;0,0575
3926,00;0,0575
3925,00;0,0575
3924,00;0,0575
3923,00;0,0575
3922,00;0,0575
3921,00;0,0575
3920,00;0,0575
3919,00;0,0575
3918,00;0,0574
3917,00;0,0574
3916,00;0,0574
3915,00;0,0574
3914,00;0,0575
3913,00;0,0575
3912,00;0,0575
3911,00;0,0575
3910,00;0,0575
3909,00;0,0575
3908,00;0,0575
3907,00;0,0575
3906,00;0,0575
3905,00;0,0575
3904,00;0,0575
3903,00;0,0575
3902,00;0,0575
3901,00;0,0575
3900,00;0,0575
3899,00;0,0575
3898,00;0,0575
3897,00;0,0575
3896,00;0,0575
3895,00;0,0575
3894,00;0,0575
3893,00;0,0575
3892,00;0,0575
3891,00;0,0575
3890,00;0,0575
3889,00;0,0575
3888,00;0,0575
3887,00;0,0575
3886,00;0,0575
3885,00;0,0575
3884,00;0,0575
3883,00;0,0575
3882,00;0,0575
3881,00;0,0575
3880,00;0,0575
3879,00;0,0575
3878,00;0,0575
3877,00;0,0575
3876,00;0,0575
3875,00;0,0575
3874,00;0,0575
3873,00;0,0575
3872,00;0,0575
3871,00;0,0575
3870,00;0,0575
3869,00;0,0575
3868,00;0,0575
3867,00;0,0575
3866,00;0,0575
3865,00;0,0575
3864,00;0,0575
3863,00;0,0575
3862,00;0,0575
3861,00;0,0575
3860,00;0,0575
3859,00;0,0575
3858,00;0,0575
3857,00;0,0575
3856,00;0,0575
3855,00;0,0575
3854,00;0,0575
3853,00;0,0575
3852,00;0,0575
3851,00;0,0575
3850,00;0,0575
3849,00;0,0575
3848,00;0,0575
3847,00;0,0575
3846,00;0,0575
3845,00;0,0575
3844,00;0,0575
3843,00;0,0575
3842,00;0,0575
3841,00;0,0575
3840,00;0,0575
3839,00;0,0575
3838,00;0,0575
3837,00;0,0575
3836,00;0,0575
3835,00;0,0575
3834,00;0,0575
3833,00;0,0575
3832,00;0,0575
3831,00;0,0575
3830,00;0,0575
3829,00;0,0575
3828,00;0,0575
3827,00;0,0575
3826,00;0,0575
3825,00;0,0575
3824,00;0,0575
3823,00;0,0575
3822,00;0,0575
3821,00;0,0575
3820,00;0,0575
3819,00;0,0575
3818,00;0,0575
3817,00;0,0575
3816,00;0,0575
3815,00;0,0575
3814,00;0,0575
3813,00;0,0575
3812,00;0,0575
3811,00;0,0575
3810,00;0,0575
3809,00;0,0575
3808,00;0,0575
3807,00;0,0575
3806,00;0,0575
3805,00;0,0575
3804,00;0,0575
3803,00;0,0575
3802,00;0,0575
3801,00;0,0575
3800,00;0,0575
3799,00;0,0575
3798,00;0,0575
3797,00;0,0575
3796,00;0,0575
3795,00;0,0575
3794,00;0,0575
3793,00;0,0575
3792,00;0,0575
3791,00;0,0575
3790,00;0,0575
3789,00;0,0575
3788,00;0,0575
3787,00;0,0575
3786,00;0,0575
3785,00;0,0575
3784,00;0,0575
3783,00;0,0575
3782,00;0,0575
3781,00;0,0575
3780,00;0,0575
3779,00;0,0575
3778,00;0,0575
3777,00;0,0575
3776,00;0,0575
3775,00;0,0575
3774,00;0,0575
3773,00;0,0575
3772,00;0,0575
3771,00;0,0575
3770,00;0,0575
3769,00;0,0575
3768,00;0,0575
3767,00;0,0575
3766,00;0,0574
3765,00;0,0574
3764,00;0,0574
3763,00;0,0574
3762,00;0,0574
3761,00;0,0574
3760,00;0,0574
3759,00;0,0574
3758,00;0,0574
3757,00;0,0574
3756,00;0,0574
3755,00;0,0574
3754,00;0,0574
3753,00;0,0574
3752,00;0,0574
3751,00;0,0574
3750,00;0,0574
3749,00;0,0574
3748,00;0,0574
3747,00;0,0574
3746,00;0,0574
3745,00;0,0574
3744,00;0,0574
3743,00;0,0574
3742,00;0,0574
3741,00;0,0574
3740,00;0,0574
3739,00;0,0574
3738,00;0,0574
3737,00;0,0574
3736,00;0,0574
3735,00;0,0574
3734,00;0,0574
3733,00;0,0574
3732,00;0,0574
3731,00;0,0574
3730,00;0,0574
3729,00;0,0574
3728,00;0,0574
3727,00;0,0574
3726,00;0,0574
3725,00;0,0574
3724,00;0,0574
3723,00;0,0573
3722,00;0,0573
3721,00;0,0573
3720,00;0,0573
3719,00;0,0573
3718,00;0,0573
3717,00;0,0573
3716,00;0,0573
3715,00;0,0573
3714,00;0,0573
3713,00;0,0573
3712,00;0,0573
3711,00;0,0573
3710,00;0,0573
3709,00;0,0573
3708,00;0,0573
3707,00;0,0573
3706,00;0,0573
3705,00;0,0573
3704,00;0,0573
3703,00;0,0573
3702,00;0,0573
3701,00;0,0573
3700,00;0,0573
3699,00;0,0573
3698,00;0,0573
3697,00;0,0573
3696,00;0,0573
3695,00;0,0573
3694,00;0,0573
3693,00;0,0573
3692,00;0,0573
3691,00;0,0573
3690,00;0,0573
3689,00;0,0573
3688,00;0,0573
3687,00;0,0573
3686,00;0,0573
3685,00;0,0573
3684,00;0,0573
3683,00;0,0573
3682,00;0,0573
3681,00;0,0573
3680,00;0,0573
3679,00;0,0573
3678,00;0,0573
3677,00;0,0573
3676,00;0,0573
3675,00;0,0573
3674,00;0,0573
3673,00;0,0573
3672,00;0,0573
3671,00;0,0573
3670,00;0,0573
3669,00;0,0573
3668,00;0,0573
3667,00;0,0573
3666,00;0,0573
3665,00;0,0573
3664,00;0,0573
3663,00;0,0573
3662,00;0,0573
3661,00;0,0573
3660,00;0,0573
3659,00;0,0573
3658,00;0,0573
3657,00;0,0573
3656,00;0,0573
3655,00;0,0573
3654,00;0,0573
3653,00;0,0573
3652,00;0,0573
3651,00;0,0573
3650,00;0,0573
3649,00;0,0573
3648,00;0,0573
3647,00;0,0573
3646,00;0,0573
3645,00;0,0573
3644,00;0,0573
3643,00;0,0573
3642,00;0,0573
3641,00;0,0573
3640,00;0,0573
3639,00;0,0573
3638,00;0,0573
3637,00;0,0573
3636,00;0,0573
3635,00;0,0573
3634,00;0,0573
3633,00;0,0573
3632,00;0,0573
3631,00;0,0573
3630,00;0,0573
3629,00;0,0573
3628,00;0,0573
3627,00;0,0573
3626,00;0,0573
3625,00;0,0573
3624,00;0,0573
