Создан как новый массив данных;Образец 013 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0493
3999,00;0,0493
3998,00;0,0492
3997,00;0,0492
3996,00;0,0492
3995,00;0,0492
3994,00;0,0493
3993,00;0,0493
3992,00;0,0493
3991,00;0,0493
3990,00;0,0493
3989,00;0,0493
3988,00;0,0493
3987,00;0,0493
3986,00;0,0493
3985,00;0,0493
3984,00;0,0493
3983,00;0,0493
3982,00;0,0493
3981,00;0,0493
3980,00;0,0493
3979,00;0,0493
3978,00;0,0493
3977,00;0,0493
3976,00;0,0493
3975,00;0,0493
3974,00;0,0493
3973,00;0,0493
3972,00;0,0493
3971,00;0,0493
3970,00;0,0493
3969,00;0,0493
3968,00;0,0493
3967,00;0,0493
3966,00;0,0493
3965,00;0,0493
3964,00;0,0493
3963,00;0,0494
3962,00;0,0494
3961,00;0,0494
3960,00;0,0494
3959,00;0,0494
3958,00;0,0494
3957,00;0,0494
3956,00;0,0494
3955,00;0,0494
3954,00;0,0494
3953,00;0,0494
3952,00;0,0494
3951,00;0,0494
3950,00;0,0494
3949,00;0,0494
3948,00;0,0494
3947,00;0,0494
3946,00;0,0494
3945,00;0,0494
3944,00;0,0494
3943,00;0,0494
3942,00;0,0494
3941,00;0,0494
3940,00;0,0494
3939,00;0,0494
3938,00;0,0494
3937,00;0,0494
3936,00;0,0494
3935,00;0,0494
3934,00;0,0494
3933,00;0,0494
3932,00;0,0494
3931,00;0,0494
3930,00;0,0494
3929,00;0,0494
3928,00;0,0494
3927,00;0,0494
3926,00;0,0494
3925,00;0,0494
3924,00;0,0494
3923,00;0,0494
3922,00;0,0494
3921,00;0,0494
3920,00;0,0495
3919,00;0,0495
3918,00;0,0495
3917,00;0,0495
3916,00;0,0495
3915,00;0,0495
3914,00;0,0495
3913,00;0,0495
3912,00;0,0495
3911,00;0,0495
3910,00;0,0495
3909,00;0,0495
3908,00;0,0495
3907,00;0,0495
3906,00;0,0495
3905,00;0,0495
3904,00;0,0495
3903,00;0,0495
3902,00;0,0495
3901,00;0,0495
3900,00;0,0495
3899,00;0,0495
3898,00;0,0495
3897,00;0,0495
3896,00;0,0495
3895,00;0,0495
3894,00;0,0495
3893,00;0,0495
3892,00;0,0495
3891,00;0,0495
3890,00;0,0495
3889,00;0,0495
3888,00;0,0495
3887,00;0,0495
3886,00;0,0495
3885,00;0,0495
3884,00;0,0495
3883,00;0,0495
3882,00;0,0495
3881,00;0,0495
3880,00;0,0495
3879,00;0,0495
3878,00;0,0495
3877,00;0,0495
3876,00;0,0495
3875,00;0,0495
3874,00;0,0495
3873,00;0,0495
3872,00;0,0495
3871,00;0,0495
3870,00;0,0495
3869,00;0,0495
3868,00;0,0495
3867,00;0,0495
3866,00;0,0495
3865,00;0,0495
3864,00;0,0495
3863,00;0,0495
3862,00;0,0495
3861,00;0,0495
3860,00;0,0495
3859,00;0,0495
3858,00;0,0495
3857,00;0,0496
3856,00;0,0496
3855,00;0,0496
3854,00;0,0496
3853,00;0,0496
3852,00;0,0496
3851,00;0,0496
3850,00;0,0496
3849,00;0,0496
3848,00;0,0496
3847,00;0,0496
3846,00;0,0496
3845,00;0,0496
3844,00;0,0496
3843,00;0,0496
3842,00;0,0496
3841,00;0,0496
3840,00;0,0496
3839,00;0,0496
3838,00;0,0496
3837,00;0,0496
3836,00;0,0496
3835,00;0,0496
3834,00;0,0496
3833,00;0,0496
3832,00;0,0496
3831,00;0,0496
3830,00;0,0496
3829,00;0,0496
3828,00;0,0496
3827,00;0,0496
3826,00;0,0496
3825,00;0,0496
3824,00;0,0496
3823,00;0,0496
3822,00;0,0496
3821,00;0,0496
3820,00;0,0496
3819,00;0,0496
3818,00;0,0496
3817,00;0,0496
3816,00;0,0496
3815,00;0,0496
3814,00;0,0496
3813,00;0,0496
3812,00;0,0496
3811,00;0,0496
3810,00;0,0496
3809,00;0,0496
3808,00;0,0496
3807,00;0,0496
3806,00;0,0496
3805,00;0,0496
3804,00;0,0496
3803,00;0,0496
3802,00;0,0496
3801,00;0,0496
3800,00;0,0496
3799,00;0,0496
3798,00;0,0496
3797,00;0,0496
3796,00;0,0496
3795,00;0,0496
3794,00;0,0496
3793,00;0,0496
3792,00;0,0496
3791,00;0,0496
3790,00;0,0496
3789,00;0,0496
3788,00;0,0496
3787,00;0,0496
3786,00;0,0496
3785,00;0,0496
3784,00;0,0496
3783,00;0,0496
3782,00;0,0495
3781,00;0,0495
3780,00;0,0495
3779,00;0,0495
3778,00;0,0495
3777,00;0,0495
3776,00;0,0495
3775,00;0,0495
3774,00;0,0495
3773,00;0,0495
3772,00;0,0495
3771,00;0,0495
3770,00;0,0495
3769,00;0,0495
3768,00;0,0495
3767,00;0,0495
3766,00;0,0495
3765,00;0,0495
3764,00;0,0495
3763,00;0,0495
3762,00;0,0495
3761,00;0,0495
3760,00;0,0495
3759,00;0,0495
3758,00;0,0495
3757,00;0,0495
3756,00;0,0495
3755,00;0,0495
3754,00;0,0495
3753,00;0,0495
3752,00;0,0495
3751,00;0,0495
3750,00;0,0495
3749,00;0,0495
3748,00;0,0495
3747,00;0,0495
3746,00;0,0495
3745,00;0,0495
3744,00;0,0495
3743,00;0,0495
3742,00;0,0495
3741,00;0,0495
3740,00;0,0495
3739,00;0,0495
3738,00;0,0495
3737,00;0,0494
3736,00;0,0494
3735,00;0,0494
3734,00;0,0494
3733,00;0,0494
3732,00;0,0494
3731,00;0,0494
3730,00;0,0494
3729,00;0,0494
3728,00;0,0494
3727,00;0,0494
3726,00;0,0494
3725,00;0,0494
3724,00;0,0494
3723,00;0,0494
3722,00;0,0494
3721,00;0,0494
3720,00;0,0494
3719,00;0,0494
3718,00;0,0494
3717,00;0,0493
3716,00;0,0493
3715,00;0,0493
3714,00;0,0493
3713,00;0,0493
3712,00;0,0493
3711,00;0,0493
3710,00;0,0493
3709,00;0,0493
3708,00;0,0493
3707,00;0,0493
3706,00;0,0493
3705,00;0,0493
3704,00;0,0493
3703,00;0,0493
3702,00;0,0493
3701,00;0,0493
3700,00;0,0493
3699,00;0,0493
3698,00;0,0492
3697,00;0,0492
3696,00;0,0492
3695,00;0,0492
3694,00;0,0492
3693,00;0,0493
3692,00;0,0493
3691,00;0,0493
3690,00;0,0493
3689,00;0,0493
3688,00;0,0493
3687,00;0,0493
3686,00;0,0493
3685,00;0,0493
3684,00;0,0493
3683,00;0,0493
3682,00;0,0493
3681,00;0,0493
3680,00;0,0493
3679,00;0,0493
3678,00;0,0493
3677,00;0,0493
3676,00;0,0493
3675,00;0,0493
3674,00;0,0493
3673,00;0,0493
3672,00;0,0493
3671,00;0,0493
3670,00;0,0493
3669,00;0,0493
3668,00;0,0493
3667,00;0,0493
3666,00;0,0493
3665,00;0,0493
3664,00;0,0493
3663,00;0,0493
3662,00;0,0493
3661,00;0,0493
3660,00;0,0493
3659,00;0,0493
3658,00;0,0493
3657,00;0,0493
3656,00;0,0493
3655,00;0,0493
3654,00;0,0493
3653,00;0,0493
3652,00;0,0493
3651,00;0,0493
3650,00;0,0493
3649,00;0,0493
3648,00;0,0493
3647,00;0,0493
3646,00;0,0493
3645,00;0,0493
3644,00;0,0493
3643,00;0,0493
3642,00;0,0493
3641,00;0,0493
3640,00;0,0492
3639,00;0,0492
3638,00;0,0492
3637,00;0,0493
3636,00;0,0493
3635,00;0,0493
3634,00;0,0493
3633,00;0,0493
3632,00;0,0492
3631,00;0,0493
3630,00;0,0493
3629,00;0,0493
3628,00;0,0493
3627,00;0,0493
3626,00;0,0493
3625,00;0,0493
3624,00;0,0493
3623,00;0,0493
3622,00;0,0493
3621,00;0,0493
3620,00;0,0493
3619,00;0,0493
3618,00;0,0493
3617,00;0,0493
3616,00;0,0493
3615,00;0,0493
3614,00;0,0493
3613,00;0,0493
3612,00;0,0493
3611,00;0,0493
3610,00;0,0494
3609,00;0,0494
3608,00;0,0494
3607,00;0,0494
3606,00;0,0494
3605,00;0,0494
3604,00;0,0494
3603,00;0,0494
3602,00;0,0494
3601,00;0,0494
3600,00;0,0494
3599,00;0,0494
3598,00;0,0494
3597,00;0,0494
3596,00;0,0495
3595,00;0,0495
3594,00;0,0495
3593,00;0,0495
3592,00;0,0495
3591,00;0,0495
3590,00;0,0495
3589,00;0,0495
3588,00;0,0496
3587,00;0,0496
3586,00;0,0496
3585,00;0,0496
3584,00;0,0496
3583,00;0,0496
3582,00;0,0496
3581,00;0,0496
3580,00;0,0496
3579,00;0,0496
3578,00;0,0496
3577,00;0,0496
3576,00;0,0496
3575,00;0,0496
3574,00;0,0496
3573,00;0,0496
3572,00;0,0497
3571,00;0,0497
3570,00;0,0497
3569,00;0,0497
3568,00;0,0497
3567,00;0,0497
3566,00;0,0497
3565,00;0,0497
3564,00;0,0497
3563,00;0,0498
3562,00;0,0498
3561,00;0,0498
3560,00;0,0498
3559,00;0,0498
3558,00;0,0498
