Создан как новый массив данных;Образец 009 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0082
3999,00;0,0082
3998,00;0,0082
3997,00;0,0082
3996,00;0,0082
3995,00;0,0082
3994,00;0,0082
3993,00;0,0082
3992,00;0,0082
3991,00;0,0082
3990,00;0,0082
3989,00;0,0082
3988,00;0,0082
3987,00;0,0082
3986,00;0,0082
3985,00;0,0082
3984,00;0,0082
3983,00;0,0082
3982,00;0,0082
3981,00;0,0082
3980,00;0,0082
3979,00;0,0082
3978,00;0,0082
3977,00;0,0082
3976,00;0,0082
3975,00;0,0082
3974,00;0,0082
3973,00;0,0082
3972,00;0,0082
3971,00;0,0082
3970,00;0,0082
3969,00;0,0082
3968,00;0,0082
3967,00;0,0082
3966,00;0,0082
3965,00;0,0082
3964,00;0,0082
3963,00;0,0082
3962,00;0,0082
3961,00;0,0082
3960,00;0,0082
3959,00;0,0082
3958,00;0,0082
3957,00;0,0082
3956,00;0,0082
3955,00;0,0082
3954,00;0,0082
3953,00;0,0082
3952,00;0,0082
3951,00;0,0082
3950,00;0,0082
3949,00;0,0082
3948,00;0,0082
3947,00;0,0082
3946,00;0,0082
3945,00;0,0082
3944,00;0,0082
3943,00;0,0082
3942,00;0,0082
3941,00;0,0082
3940,00;0,0082
3939,00;0,0082
3938,00;0,0082
3937,00;0,0082
3936,00;0,0082
3935,00;0,0082
3934,00;0,0082
3933,00;0,0082
3932,00;0,0082
3931,00;0,0082
3930,00;0,0082
3929,00;0,0082
3928,00;0,0082
3927,00;0,0082
3926,00;0,0082
3925,00;0,0083
3924,00;0,0083
3923,00;0,0083
3922,00;0,0083
3921,00;0,0083
3920,00;0,0083
3919,00;0,0083
3918,00;0,0083
3917,00;0,0083
3916,00;0,0083
3915,00;0,0083
3914,00;0,0083
3913,00;0,0083
3912,00;0,0083
3911,00;0,0083
3910,00;0,0083
3909,00;0,0083
3908,00;0,0083
3907,00;0,0083
3906,00;0,0083
3905,00;0,0083
3904,00;0,0083
3903,00;0,0083
3902,00;0,0083
3901,00;0,0083
3900,00;0,0083
3899,00;0,0083
3898,00;0,0083
3897,00;0,0083
3896,00;0,0083
3895,00;0,0083
3894,00;0,0083
3893,00;0,0083
3892,00;0,0083
3891,00;0,0083
3890,00;0,0083
3889,00;0,0083
3888,00;0,0083
3887,00;0,0083
3886,00;0,0083
3885,00;0,0083
3884,00;0,0083
3883,00;0,0083
3882,00;0,0083
3881,00;0,0083
3880,00;0,0083
3879,00;0,0083
3878,00;0,0083
3877,00;0,0083
3876,00;0,0083
3875,00;0,0082
3874,00;0,0082
3873,00;0,0083
3872,00;0,0083
3871,00;0,0083
3870,00;0,0083
3869,00;0,0083
3868,00;0,0082
3867,00;0,0083
3866,00;0,0083
3865,00;0,0083
3864,00;0,0083
3863,00;0,0083
3862,00;0,0083
3861,00;0,0083
3860,00;0,0082
3859,00;0,0082
3858,00;0,0082
3857,00;0,0082
3856,00;0,0082
3855,00;0,0082
3854,00;0,0082
3853,00;0,0082
3852,00;0,0082
3851,00;0,0082
3850,00;0,0082
3849,00;0,0082
3848,00;0,0082
3847,00;0,0083
3846,00;0,0083
3845,00;0,0083
3844,00;0,0083
3843,00;0,0083
3842,00;0,0083
3841,00;0,0083
3840,00;0,0083
3839,00;0,0083
3838,00;0,0083
3837,00;0,0083
3836,00;0,0083
3835,00;0,0083
3834,00;0,0083
3833,00;0,0083
3832,00;0,0083
3831,00;0,0083
3830,00;0,0083
3829,00;0,0083
3828,00;0,0083
3827,00;0,0083
3826,00;0,0083
3825,00;0,0083
3824,00;0,0083
3823,00;0,0083
3822,00;0,0083
3821,00;0,0083
3820,00;0,0083
3819,00;0,0083
3818,00;0,0083
3817,00;0,0083
3816,00;0,0083
3815,00;0,0083
3814,00;0,0083
3813,00;0,0083
3812,00;0,0083
3811,00;0,0083
3810,00;0,0083
3809,00;0,0083
3808,00;0,0083
3807,00;0,0083
3806,00;0,0083
3805,00;0,0083
3804,00;0,0083
3803,00;0,0083
3802,00;0,0083
3801,00;0,0083
3800,00;0,0083
3799,00;0,0083
3798,00;0,0084
3797,00;0,0084
3796,00;0,0084
3795,00;0,0084
3794,00;0,0084
3793,00;0,0084
3792,00;0,0084
3791,00;0,0084
3790,00;0,0084
3789,00;0,0084
3788,00;0,0084
3787,00;0,0084
3786,00;0,0084
3785,00;0,0084
3784,00;0,0084
3783,00;0,0084
3782,00;0,0084
3781,00;0,0084
3780,00;0,0084
3779,00;0,0084
3778,00;0,0084
3777,00;0,0084
3776,00;0,0084
3775,00;0,0084
3774,00;0,0084
3773,00;0,0084
3772,00;0,0084
3771,00;0,0084
3770,00;0,0084
3769,00;0,0084
3768,00;0,0084
3767,00;0,0084
3766,00;0,0084
3765,00;0,0084
3764,00;0,0084
3763,00;0,0084
3762,00;0,0084
3761,00;0,0084
3760,00;0,0084
3759,00;0,0084
3758,00;0,0084
3757,00;0,0084
3756,00;0,0084
3755,00;0,0084
3754,00;0,0084
3753,00;0,0083
3752,00;0,0083
3751,00;0,0083
3750,00;0,0083
3749,00;0,0083
3748,00;0,0083
3747,00;0,0083
3746,00;0,0084
3745,00;0,0084
3744,00;0,0084
3743,00;0,0084
3742,00;0,0084
3741,00;0,0084
3740,00;0,0084
3739,00;0,0084
3738,00;0,0084
3737,00;0,0084
3736,00;0,0084
3735,00;0,0084
3734,00;0,0084
3733,00;0,0084
3732,00;0,0084
3731,00;0,0084
3730,00;0,0084
3729,00;0,0084
3728,00;0,0084
3727,00;0,0084
3726,00;0,0084
3725,00;0,0084
3724,00;0,0084
3723,00;0,0084
3722,00;0,0084
3721,00;0,0084
3720,00;0,0085
3719,00;0,0085
3718,00;0,0085
3717,00;0,0085
3716,00;0,0085
3715,00;0,0085
3714,00;0,0085
3713,00;0,0085
3712,00;0,0085
3711,00;0,0085
3710,00;0,0085
3709,00;0,0085
3708,00;0,0085
3707,00;0,0085
3706,00;0,0085
3705,00;0,0086
3704,00;0,0086
3703,00;0,0086
3702,00;0,0086
3701,00;0,0086
3700,00;0,0086
3699,00;0,0086
3698,00;0,0087
3697,00;0,0087
3696,00;0,0087
3695,00;0,0087
3694,00;0,0087
3693,00;0,0087
3692,00;0,0087
3691,00;0,0087
3690,00;0,0087
3689,00;0,0087
3688,00;0,0087
3687,00;0,0087
3686,00;0,0087
3685,00;0,0087
3684,00;0,0087
3683,00;0,0087
3682,00;0,0087
3681,00;0,0087
3680,00;0,0087
3679,00;0,0087
3678,00;0,0087
3677,00;0,0087
3676,00;0,0087
3675,00;0,0087
3674,00;0,0087
3673,00;0,0087
3672,00;0,0087
3671,00;0,0087
3670,00;0,0087
3669,00;0,0087
3668,00;0,0087
3667,00;0,0088
3666,00;0,0088
3665,00;0,0088
3664,00;0,0089
3663,00;0,0089
3662,00;0,0089
3661,00;0,0090
3660,00;0,0090
3659,00;0,0090
3658,00;0,0090
3657,00;0,0090
3656,00;0,0090
3655,00;0,0090
3654,00;0,0090
3653,00;0,0090
3652,00;0,0090
3651,00;0,0090
3650,00;0,0090
3649,00;0,0090
3648,00;0,0091
3647,00;0,0091
3646,00;0,0092
3645,00;0,0092
3644,00;0,0093
3643,00;0,0093
3642,00;0,0094
3641,00;0,0094
3640,00;0,0095
3639,00;0,0095
3638,00;0,0095
3637,00;0,0095
3636,00;0,0095
3635,00;0,0096
3634,00;0,0096
3633,00;0,0096
3632,00;0,0096
3631,00;0,0096
3630,00;0,0096
3629,00;0,0097
3628,00;0,0097
3627,00;0,0098
3626,00;0,0098
3625,00;0,0099
3624,00;0,0099
3623,00;0,0099
3622,00;0,0100
3621,00;0,0100
3620,00;0,0101
3619,00;0,0101
3618,00;0,0102
3617,00;0,0102
3616,00;0,0102
3615,00;0,0102
3614,00;0,0103
3613,00;0,0103
3612,00;0,0104
3611,00;0,0104
3610,00;0,0104
3609,00;0,0105
3608,00;0,0105
3607,00;0,0105
3606,00;0,0106
3605,00;0,0106
3604,00;0,0107
3603,00;0,0107
3602,00;0,0108
3601,00;0,0108
3600,00;0,0109
3599,00;0,0109
3598,00;0,0110
3597,00;0,0110
3596,00;0,0110
3595,00;0,0111
3594,00;0,0111
3593,00;0,0111
3592,00;0,0112
3591,00;0,0112
3590,00;0,0113
3589,00;0,0113
3588,00;0,0113
3587,00;0,0114
3586,00;0,0114
3585,00;0,0115
3584,00;0,0115
3583,00;0,0116
3582,00;0,0116
3581,00;0,0116
3580,00;0,0117
3579,00;0,0117
3578,00;0,0118
3577,00;0,0118
3576,00;0,0118
3575,00;0,0119
3574,00;0,0119
3573,00;0,0120
3572,00;0,0120
3571,00;0,0120
3570,00;0,0121
3569,00;0,0121
3568,00;0,0121
3567,00;0,0122
3566,00;0,0122
3565,00;0,0123
3564,00;0,0123
3563,00;0,0124
3562,00;0,0125
3561,00;0,0125
3560,00;0,0126
3559,00;0,0126
3558,00;0,0126
3557,00;0,0127
3556,00;0,0127
3555,00;0,0127
3554,00;0,0128
3553,00;0,0128
3552,00;0,0129
3551,00;0,0129
3550,00;0,0130
3549,00;0,0130
3548,00;0,0130
3547,00;0,0131
3546,00;0,0131
3545,00;0,0131
3544,00;0,0132
3543,00;0,0132
3542,00;0,0133
3541,00;0,0133
3540,00;0,0134
3539,00;0,0134
3538,00;0,0134
3537,00;0,0135
3536,00;0,0135
3535,00;0,0136
3534,00;0,0136
3533,00;0,0136
3532,00;0,0136
3531,00;0,0137
3530,00;0,0137
3529,00;0,0138
3528,00;0,0138
3527,00;0,0139
3526,00;0,0139
3525,00;0,0139
3524,00;0,0140
3523,00;0,0140
3522,00;0,0141
3521,00;0,0141
3520,00;0,0142
3519,00;0,0142
3518,00;0,0142
3517,00;0,0143
3516,00;0,0143
3515,00;0,0143
3514,00;0,0143
3513,00;0,0144
3512,00;0,0144
3511,00;0,0144
3510,00;0,0145
3509,00;0,0145
3508,00;0,0145
3507,00;0,0146
3506,00;0,0146
3505,00;0,0146
3504,00;0,0147
3503,00;0,0147
3502,00;0,0148
3501,00;0,0148
3500,00;0,0148
3499,00;0,0149
3498,00;0,0149
3497,00;0,0149
3496,00;0,0150
3495,00;0,0150
3494,00;0,0150
3493,00;0,0151
3492,00;0,0151
3491,00;0,0151
3490,00;0,0151
3489,00;0,0152
3488,00;0,0152
3487,00;0,0152
3486,00;0,0152
3485,00;0,0152
3484,00;0,0153
3483,00;0,0153
3482,00;0,0153
3481,00;0,0153
3480,00;0,0154
3479,00;0,0154
3478,00;0,0154
3477,00;0,0155
3476,00;0,0155
3475,00;0,0155
3474,00;0,0155
3473,00;0,0156
3472,00;0,0156
3471,00;0,0157
3470,00;0,0157
3469,00;0,0158
3468,00;0,0158
3467,00;0,0158
3466,00;0,0158
3465,00;0,0158
3464,00;0,0159
3463,00;0,0159
3462,00;0,0159
3461,00;0,0159
3460,00;0,0160
3459,00;0,0160
3458,00;0,0160
3457,00;0,0160
3456,00;0,0160
3455,00;0,0160
3454,00;0,0161
3453,00;0,0161
3452,00;0,0161
3451,00;0,0162
3450,00;0,0162
3449,00;0,0162
3448,00;0,0162
3447,00;0,0162
3446,00;0,0163
3445,00;0,0163
3444,00;0,0163
3443,00;0,0163
3442,00;0,0163
3441,00;0,0163
3440,00;0,0163
3439,00;0,0163
3438,00;0,0164
3437,00;0,0164
3436,00;0,0164
3435,00;0,0165
3434,00;0,0165
3433,00;0,0165
3432,00;0,0165
3431,00;0,0165
3430,00;0,0165
3429,00;0,0165
3428,00;0,0166
3427,00;0,0166
3426,00;0,0166
3425,00;0,0166
3424,00;0,0167
3423,00;0,0167
3422,00;0,0167
3421,00;0,0167
3420,00;0,0167
3419,00;0,0167
3418,00;0,0167
3417,00;0,0167
3416,00;0,0168
3415,00;0,0168
3414,00;0,0168
3413,00;0,0168
3412,00;0,0168
3411,00;0,0168
3410,00;0,0168
3409,00;0,0168
3408,00;0,0168
3407,00;0,0168
3406,00;0,0168
3405,00;0,0168
3404,00;0,0168
3403,00;0,0168
3402,00;0,0168
3401,00;0,0168
3400,00;0,0168
3399,00;0,0169
3398,00;0,0169
3397,00;0,0169
3396,00;0,0169
3395,00;0,0169
3394,00;0,0169
3393,00;0,0169
3392,00;0,0169
3391,00;0,0169
3390,00;0,0170
3389,00;0,0170
3388,00;0,0170
3387,00;0,0170
3386,00;0,0170
3385,00;0,0170
3384,00;0,0170
3383,00;0,0170
3382,00;0,0170
3381,00;0,0170
3380,00;0,0170
3379,00;0,0171
3378,00;0,0171
3377,00;0,0171
3376,00;0,0171
3375,00;0,0171
3374,00;0,0171
3373,00;0,0171
3372,00;0,0171
3371,00;0,0171
3370,00;0,0171
3369,00;0,0171
3368,00;0,0171
3367,00;0,0171
3366,00;0,0171
3365,00;0,0171
3364,00;0,0171
3363,00;0,0171
3362,00;0,0171
3361,00;0,0171
3360,00;0,0171
3359,00;0,0171
3358,00;0,0171
3357,00;0,0171
3356,00;0,0171
3355,00;0,0171
3354,00;0,0171
3353,00;0,0171
3352,00;0,0171
3351,00;0,0171
3350,00;0,0171
3349,00;0,0171
3348,00;0,0172
3347,00;0,0172
3346,00;0,0172
3345,00;0,0171
3344,00;0,0171
3343,00;0,0171
3342,00;0,0171
3341,00;0,0171
3340,00;0,0171
3339,00;0,0171
3338,00;0,0171
3337,00;0,0171
3336,00;0,0171
3335,00;0,0171
3334,00;0,0171
3333,00;0,0171
3332,00;0,0171
3331,00;0,0171
3330,00;0,0171
3329,00;0,0171
3328,00;0,0171
3327,00;0,0170
3326,00;0,0170
3325,00;0,0170
3324,00;0,0170
3323,00;0,0171
3322,00;0,0171
3321,00;0,0171
3320,00;0,0171
3319,00;0,0170
3318,00;0,0170
3317,00;0,0170
3316,00;0,0170
3315,00;0,0170
3314,00;0,0170
3313,00;0,0170
3312,00;0,0170
3311,00;0,0169
3310,00;0,0169
3309,00;0,0169
3308,00;0,0168
3307,00;0,0168
3306,00;0,0168
3305,00;0,0168
3304,00;0,0168
3303,00;0,0169
3302,00;0,0169
3301,00;0,0169
3300,00;0,0169
3299,00;0,0168
3298,00;0,0168
3297,00;0,0168
3296,00;0,0168
3295,00;0,0168
3294,00;0,0168
3293,00;0,0167
3292,00;0,0167
3291,00;0,0167
3290,00;0,0168
3289,00;0,0168
3288,00;0,0168
3287,00;0,0168
3286,00;0,0168
3285,00;0,0168
3284,00;0,0168
3283,00;0,0168
3282,00;0,0168
3281,00;0,0168
3280,00;0,0168
3279,00;0,0168
3278,00;0,0167
3277,00;0,0167
3276,00;0,0167
3275,00;0,0167
3274,00;0,0167
3273,00;0,0166
3272,00;0,0166
3271,00;0,0166
3270,00;0,0166
3269,00;0,0166
3268,00;0,0167
3267,00;0,0167
3266,00;0,0167
3265,00;0,0167
3264,00;0,0167
3263,00;0,0167
3262,00;0,0167
3261,00;0,0167
3260,00;0,0167
3259,00;0,0167
3258,00;0,0167
3257,00;0,0167
3256,00;0,0167
3255,00;0,0167
3254,00;0,0167
3253,00;0,0167
3252,00;0,0167
3251,00;0,0167
3250,00;0,0167
3249,00;0,0166
3248,00;0,0166
3247,00;0,0166
3246,00;0,0167
3245,00;0,0167
3244,00;0,0167
3243,00;0,0167
3242,00;0,0167
3241,00;0,0167
3240,00;0,0167
3239,00;0,0166
3238,00;0,0166
3237,00;0,0166
3236,00;0,0166
3235,00;0,0165
3234,00;0,0165
3233,00;0,0165
3232,00;0,0166
3231,00;0,0166
3230,00;0,0166
3229,00;0,0165
3228,00;0,0165
3227,00;0,0165
3226,00;0,0165
3225,00;0,0165
3224,00;0,0165
3223,00;0,0165
3222,00;0,0165
3221,00;0,0164
3220,00;0,0164
3219,00;0,0164
3218,00;0,0164
3217,00;0,0164
3216,00;0,0164
3215,00;0,0164
3214,00;0,0164
3213,00;0,0164
3212,00;0,0164
3211,00;0,0164
3210,00;0,0163
3209,00;0,0163
3208,00;0,0163
3207,00;0,0163
3206,00;0,0163
3205,00;0,0163
3204,00;0,0162
3203,00;0,0162
3202,00;0,0162
3201,00;0,0162
3200,00;0,0162
3199,00;0,0162
3198,00;0,0162
3197,00;0,0162
3196,00;0,0161
3195,00;0,0161
3194,00;0,0161
3193,00;0,0161
3192,00;0,0161
3191,00;0,0161
3190,00;0,0161
3189,00;0,0160
3188,00;0,0160
3187,00;0,0160
3186,00;0,0160
3185,00;0,0160
3184,00;0,0160
3183,00;0,0160
3182,00;0,0160
3181,00;0,0159
3180,00;0,0159
3179,00;0,0159
3178,00;0,0159
3177,00;0,0159
3176,00;0,0159
3175,00;0,0159
3174,00;0,0158
3173,00;0,0158
3172,00;0,0158
3171,00;0,0158
3170,00;0,0158
3169,00;0,0158
3168,00;0,0158
3167,00;0,0157
3166,00;0,0157
3165,00;0,0157
3164,00;0,0157
3163,00;0,0157
3162,00;0,0157
3161,00;0,0157
3160,00;0,0156
3159,00;0,0156
3158,00;0,0156
3157,00;0,0156
3156,00;0,0156
3155,00;0,0156
3154,00;0,0156
3153,00;0,0155
3152,00;0,0155
3151,00;0,0155
3150,00;0,0155
3149,00;0,0155
3148,00;0,0155
3147,00;0,0155
3146,00;0,0154
3145,00;0,0154
3144,00;0,0154
3143,00;0,0154
3142,00;0,0154
3141,00;0,0154
3140,00;0,0154
3139,00;0,0153
3138,00;0,0153
3137,00;0,0153
3136,00;0,0153
3135,00;0,0153
3134,00;0,0153
3133,00;0,0153
3132,00;0,0153
3131,00;0,0152
3130,00;0,0152
3129,00;0,0152
3128,00;0,0152
3127,00;0,0152
3126,00;0,0152
3125,00;0,0152
3124,00;0,0152
3123,00;0,0151
3122,00;0,0151
3121,00;0,0151
3120,00;0,0151
3119,00;0,0150
3118,00;0,0150
3117,00;0,0150
3116,00;0,0150
3115,00;0,0150
3114,00;0,0150
3113,00;0,0150
3112,00;0,0150
3111,00;0,0150
3110,00;0,0150
3109,00;0,0150
3108,00;0,0149
3107,00;0,0149
3106,00;0,0149
3105,00;0,0149
3104,00;0,0149
3103,00;0,0149
3102,00;0,0148
3101,00;0,0148
3100,00;0,0148
3099,00;0,0148
3098,00;0,0148
3097,00;0,0148
3096,00;0,0148
3095,00;0,0148
3094,00;0,0148
3093,00;0,0147
3092,00;0,0147
3091,00;0,0147
3090,00;0,0147
3089,00;0,0146
3088,00;0,0146
3087,00;0,0146
3086,00;0,0146
3085,00;0,0146
3084,00;0,0146
3083,00;0,0145
3082,00;0,0145
3081,00;0,0145
3080,00;0,0145
3079,00;0,0145
3078,00;0,0145
3077,00;0,0145
3076,00;0,0145
3075,00;0,0145
3074,00;0,0144
3073,00;0,0144
3072,00;0,0144
3071,00;0,0144
3070,00;0,0144
3069,00;0,0144
3068,00;0,0144
3067,00;0,0143
3066,00;0,0143
3065,00;0,0143
3064,00;0,0143
3063,00;0,0143
3062,00;0,0143
3061,00;0,0143
3060,00;0,0143
3059,00;0,0142
3058,00;0,0142
3057,00;0,0142
3056,00;0,0142
3055,00;0,0142
3054,00;0,0141
3053,00;0,0141
3052,00;0,0141
3051,00;0,0141
3050,00;0,0141
3049,00;0,0141
3048,00;0,0141
3047,00;0,0140
3046,00;0,0140
3045,00;0,0140
3044,00;0,0140
3043,00;0,0140
3042,00;0,0140
3041,00;0,0140
3040,00;0,0140
3039,00;0,0140
3038,00;0,0140
3037,00;0,0140
3036,00;0,0139
3035,00;0,0139
3034,00;0,0139
3033,00;0,0139
3032,00;0,0139
3031,00;0,0139
3030,00;0,0139
3029,00;0,0138
3028,00;0,0138
3027,00;0,0138
3026,00;0,0138
3025,00;0,0138
3024,00;0,0137
3023,00;0,0137
3022,00;0,0137
3021,00;0,0137
3020,00;0,0136
3019,00;0,0136
3018,00;0,0136
3017,00;0,0135
3016,00;0,0135
3015,00;0,0135
3014,00;0,0135
3013,00;0,0135
3012,00;0,0135
3011,00;0,0135
3010,00;0,0136
3009,00;0,0136
3008,00;0,0136
3007,00;0,0136
3006,00;0,0136
3005,00;0,0136
3004,00;0,0136
3003,00;0,0136
3002,00;0,0136
3001,00;0,0136
3000,00;0,0136
2999,00;0,0135
2998,00;0,0135
2997,00;0,0136
2996,00;0,0136
2995,00;0,0136
2994,00;0,0136
2993,00;0,0135
2992,00;0,0135
2991,00;0,0135
2990,00;0,0135
2989,00;0,0135
2988,00;0,0135
2987,00;0,0135
2986,00;0,0135
2985,00;0,0135
2984,00;0,0135
2983,00;0,0135
2982,00;0,0135
2981,00;0,0135
2980,00;0,0134
2979,00;0,0134
2978,00;0,0134
2977,00;0,0133
2976,00;0,0133
2975,00;0,0133
2974,00;0,0133
2973,00;0,0132
2972,00;0,0132
2971,00;0,0131
2970,00;0,0130
2969,00;0,0129
2968,00;0,0129
2967,00;0,0128
2966,00;0,0128
2965,00;0,0127
2964,00;0,0127
2963,00;0,0127
2962,00;0,0126
2961,00;0,0126
2960,00;0,0125
2959,00;0,0125
2958,00;0,0124
2957,00;0,0124
2956,00;0,0124
2955,00;0,0123
2954,00;0,0123
2953,00;0,0123
2952,00;0,0122
2951,00;0,0122
2950,00;0,0122
2949,00;0,0122
2948,00;0,0121
2947,00;0,0121
2946,00;0,0120
2945,00;0,0119
2944,00;0,0119
2943,00;0,0118
2942,00;0,0117
2941,00;0,0117
2940,00;0,0116
2939,00;0,0115
2938,00;0,0114
2937,00;0,0112
2936,00;0,0111
2935,00;0,0110
2934,00;0,0108
2933,00;0,0107
2932,00;0,0106
2931,00;0,0105
2930,00;0,0103
2929,00;0,0103
2928,00;0,0102
2927,00;0,0101
2926,00;0,0100
2925,00;0,0100
2924,00;0,0099
2923,00;0,0099
2922,00;0,0099
2921,00;0,0100
2920,00;0,0100
2919,00;0,0101
2918,00;0,0102
2917,00;0,0103
2916,00;0,0104
2915,00;0,0105
2914,00;0,0106
2913,00;0,0107
2912,00;0,0108
2911,00;0,0109
2910,00;0,0110
2909,00;0,0110
2908,00;0,0111
2907,00;0,0112
2906,00;0,0113
2905,00;0,0113
2904,00;0,0113
2903,00;0,0113
2902,00;0,0113
2901,00;0,0114
2900,00;0,0114
2899,00;0,0114
2898,00;0,0114
2897,00;0,0114
2896,00;0,0115
2895,00;0,0115
2894,00;0,0115
2893,00;0,0115
2892,00;0,0115
2891,00;0,0116
2890,00;0,0116
2889,00;0,0116
2888,00;0,0116
2887,00;0,0116
2886,00;0,0117
2885,00;0,0116
2884,00;0,0116
2883,00;0,0116
2882,00;0,0116
2881,00;0,0116
2880,00;0,0116
2879,00;0,0115
2878,00;0,0115
2877,00;0,0115
2876,00;0,0115
2875,00;0,0114
2874,00;0,0114
2873,00;0,0113
2872,00;0,0113
2871,00;0,0113
2870,00;0,0113
2869,00;0,0113
2868,00;0,0112
2867,00;0,0112
2866,00;0,0112
2865,00;0,0111
2864,00;0,0111
2863,00;0,0110
2862,00;0,0109
2861,00;0,0108
2860,00;0,0107
2859,00;0,0106
2858,00;0,0105
2857,00;0,0104
2856,00;0,0103
2855,00;0,0102
2854,00;0,0102
2853,00;0,0101
2852,00;0,0102
2851,00;0,0102
2850,00;0,0103
2849,00;0,0105
2848,00;0,0106
2847,00;0,0107
2846,00;0,0109
2845,00;0,0110
2844,00;0,0110
2843,00;0,0111
2842,00;0,0112
2841,00;0,0113
2840,00;0,0113
2839,00;0,0113
2838,00;0,0113
2837,00;0,0113
2836,00;0,0113
2835,00;0,0113
2834,00;0,0114
2833,00;0,0114
2832,00;0,0114
2831,00;0,0114
2830,00;0,0114
2829,00;0,0114
2828,00;0,0114
2827,00;0,0114
2826,00;0,0114
2825,00;0,0114
2824,00;0,0114
2823,00;0,0114
2822,00;0,0114
2821,00;0,0114
2820,00;0,0114
2819,00;0,0114
2818,00;0,0114
2817,00;0,0114
2816,00;0,0114
2815,00;0,0114
2814,00;0,0114
2813,00;0,0114
2812,00;0,0114
2811,00;0,0114
2810,00;0,0114
2809,00;0,0114
2808,00;0,0115
2807,00;0,0115
2806,00;0,0114
2805,00;0,0114
2804,00;0,0114
2803,00;0,0114
2802,00;0,0114
2801,00;0,0114
2800,00;0,0114
2799,00;0,0114
2798,00;0,0113
2797,00;0,0113
2796,00;0,0113
2795,00;0,0113
2794,00;0,0113
2793,00;0,0113
2792,00;0,0113
2791,00;0,0113
2790,00;0,0113
2789,00;0,0113
2788,00;0,0113
2787,00;0,0113
2786,00;0,0113
2785,00;0,0113
2784,00;0,0113
2783,00;0,0113
2782,00;0,0113
2781,00;0,0113
2780,00;0,0113
2779,00;0,0113
2778,00;0,0112
2777,00;0,0112
2776,00;0,0112
2775,00;0,0112
2774,00;0,0112
2773,00;0,0112
2772,00;0,0112
2771,00;0,0112
2770,00;0,0112
2769,00;0,0112
2768,00;0,0112
2767,00;0,0112
2766,00;0,0112
2765,00;0,0111
2764,00;0,0111
2763,00;0,0111
2762,00;0,0111
2761,00;0,0111
2760,00;0,0111
2759,00;0,0111
2758,00;0,0111
2757,00;0,0111
2756,00;0,0111
2755,00;0,0111
2754,00;0,0111
2753,00;0,0111
2752,00;0,0111
2751,00;0,0111
2750,00;0,0111
2749,00;0,0110
2748,00;0,0110
2747,00;0,0110
2746,00;0,0110
2745,00;0,0110
2744,00;0,0110
2743,00;0,0110
2742,00;0,0110
2741,00;0,0110
2740,00;0,0110
2739,00;0,0110
2738,00;0,0110
2737,00;0,0110
2736,00;0,0110
2735,00;0,0109
2734,00;0,0109
2733,00;0,0109
2732,00;0,0109
2731,00;0,0109
2730,00;0,0109
2729,00;0,0109
2728,00;0,0109
2727,00;0,0109
2726,00;0,0109
2725,00;0,0109
2724,00;0,0109
2723,00;0,0109
2722,00;0,0109
2721,00;0,0109
2720,00;0,0109
2719,00;0,0109
2718,00;0,0108
2717,00;0,0108
2716,00;0,0108
2715,00;0,0108
2714,00;0,0108
2713,00;0,0108
2712,00;0,0108
2711,00;0,0108
2710,00;0,0108
2709,00;0,0108
2708,00;0,0108
2707,00;0,0108
2706,00;0,0108
2705,00;0,0108
2704,00;0,0108
2703,00;0,0108
2702,00;0,0108
2701,00;0,0108
2700,00;0,0108
2699,00;0,0108
2698,00;0,0108
2697,00;0,0108
2696,00;0,0107
2695,00;0,0107
