Создан как новый массив данных;Образец 008 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
4000,00;0,0108
3999,00;0,0108
3998,00;0,0108
3997,00;0,0108
3996,00;0,0108
3995,00;0,0108
3994,00;0,0108
3993,00;0,0108
3992,00;0,0108
3991,00;0,0108
3990,00;0,0108
3989,00;0,0108
3988,00;0,0108
3987,00;0,0108
3986,00;0,0108
3985,00;0,0108
3984,00;0,0108
3983,00;0,0108
3982,00;0,0108
3981,00;0,0108
3980,00;0,0108
3979,00;0,0108
3978,00;0,0108
3977,00;0,0108
3976,00;0,0108
3975,00;0,0108
3974,00;0,0108
3973,00;0,0108
3972,00;0,0108
3971,00;0,0108
3970,00;0,0108
3969,00;0,0108
3968,00;0,0108
3967,00;0,0108
3966,00;0,0108
3965,00;0,0108
3964,00;0,0108
3963,00;0,0108
3962,00;0,0108
3961,00;0,0108
3960,00;0,0108
3959,00;0,0108
3958,00;0,0108
3957,00;0,0108
3956,00;0,0108
3955,00;0,0108
3954,00;0,0108
3953,00;0,0108
3952,00;0,0108
3951,00;0,0108
3950,00;0,0108
3949,00;0,0108
3948,00;0,0108
3947,00;0,0108
3946,00;0,0109
3945,00;0,0109
3944,00;0,0109
3943,00;0,0109
3942,00;0,0109
3941,00;0,0109
3940,00;0,0109
3939,00;0,0109
3938,00;0,0109
3937,00;0,0109
3936,00;0,0109
3935,00;0,0109
3934,00;0,0109
3933,00;0,0109
3932,00;0,0109
3931,00;0,0109
3930,00;0,0109
3929,00;0,0109
3928,00;0,0109
3927,00;0,0109
3926,00;0,0109
3925,00;0,0109
3924,00;0,0109
3923,00;0,0109
3922,00;0,0109
3921,00;0,0109
3920,00;0,0109
3919,00;0,0108
3918,00;0,0108
3917,00;0,0109
3916,00;0,0109
3915,00;0,0109
3914,00;0,0109
3913,00;0,0109
3912,00;0,0109
3911,00;0,0109
3910,00;0,0109
3909,00;0,0109
3908,00;0,0109
3907,00;0,0109
3906,00;0,0109
3905,00;0,0109
3904,00;0,0109
3903,00;0,0109
3902,00;0,0108
3901,00;0,0108
3900,00;0,0108
3899,00;0,0108
3898,00;0,0108
3897,00;0,0108
3896,00;0,0108
3895,00;0,0108
3894,00;0,0108
3893,00;0,0108
3892,00;0,0108
3891,00;0,0108
3890,00;0,0108
3889,00;0,0108
3888,00;0,0108
3887,00;0,0108
3886,00;0,0108
3885,00;0,0108
3884,00;0,0108
3883,00;0,0108
3882,00;0,0108
3881,00;0,0108
3880,00;0,0108
3879,00;0,0108
3878,00;0,0108
3877,00;0,0108
3876,00;0,0108
3875,00;0,0108
3874,00;0,0108
3873,00;0,0108
3872,00;0,0108
3871,00;0,0108
3870,00;0,0108
3869,00;0,0108
3868,00;0,0108
3867,00;0,0108
3866,00;0,0108
3865,00;0,0108
3864,00;0,0108
3863,00;0,0108
3862,00;0,0108
3861,00;0,0108
3860,00;0,0108
3859,00;0,0108
3858,00;0,0108
3857,00;0,0108
3856,00;0,0108
3855,00;0,0108
3854,00;0,0108
3853,00;0,0108
3852,00;0,0108
3851,00;0,0108
3850,00;0,0108
3849,00;0,0108
3848,00;0,0108
3847,00;0,0108
3846,00;0,0108
3845,00;0,0108
3844,00;0,0108
3843,00;0,0108
3842,00;0,0108
3841,00;0,0108
3840,00;0,0108
3839,00;0,0108
3838,00;0,0108
3837,00;0,0108
3836,00;0,0108
3835,00;0,0108
3834,00;0,0108
3833,00;0,0108
3832,00;0,0108
3831,00;0,0108
3830,00;0,0108
3829,00;0,0108
3828,00;0,0108
3827,00;0,0108
3826,00;0,0108
3825,00;0,0108
3824,00;0,0108
3823,00;0,0108
3822,00;0,0108
3821,00;0,0108
3820,00;0,0108
3819,00;0,0108
3818,00;0,0108
3817,00;0,0108
3816,00;0,0108
3815,00;0,0108
3814,00;0,0108
3813,00;0,0108
3812,00;0,0108
3811,00;0,0108
3810,00;0,0108
3809,00;0,0108
3808,00;0,0108
3807,00;0,0108
3806,00;0,0108
3805,00;0,0108
3804,00;0,0108
3803,00;0,0108
3802,00;0,0108
3801,00;0,0108
3800,00;0,0108
3799,00;0,0108
3798,00;0,0108
3797,00;0,0108
3796,00;0,0108
3795,00;0,0108
3794,00;0,0108
3793,00;0,0108
3792,00;0,0108
3791,00;0,0108
3790,00;0,0109
3789,00;0,0109
3788,00;0,0109
3787,00;0,0109
3786,00;0,0109
3785,00;0,0109
3784,00;0,0109
3783,00;0,0108
3782,00;0,0108
3781,00;0,0108
3780,00;0,0108
3779,00;0,0108
3778,00;0,0108
3777,00;0,0108
3776,00;0,0108
3775,00;0,0108
3774,00;0,0108
3773,00;0,0108
3772,00;0,0108
3771,00;0,0108
3770,00;0,0108
3769,00;0,0108
3768,00;0,0108
3767,00;0,0108
3766,00;0,0108
3765,00;0,0108
3764,00;0,0108
3763,00;0,0108
3762,00;0,0108
3761,00;0,0108
3760,00;0,0108
3759,00;0,0108
3758,00;0,0108
3757,00;0,0108
3756,00;0,0108
3755,00;0,0108
3754,00;0,0108
3753,00;0,0108
3752,00;0,0108
3751,00;0,0108
3750,00;0,0108
3749,00;0,0108
3748,00;0,0108
3747,00;0,0108
3746,00;0,0108
3745,00;0,0108
3744,00;0,0108
3743,00;0,0109
3742,00;0,0109
3741,00;0,0109
3740,00;0,0109
3739,00;0,0109
3738,00;0,0109
3737,00;0,0109
3736,00;0,0108
3735,00;0,0108
3734,00;0,0108
3733,00;0,0108
3732,00;0,0108
3731,00;0,0108
3730,00;0,0108
3729,00;0,0108
3728,00;0,0108
3727,00;0,0108
3726,00;0,0108
3725,00;0,0108
3724,00;0,0108
3723,00;0,0108
3722,00;0,0108
3721,00;0,0108
3720,00;0,0108
3719,00;0,0108
3718,00;0,0108
3717,00;0,0108
3716,00;0,0108
3715,00;0,0108
3714,00;0,0108
3713,00;0,0108
3712,00;0,0108
3711,00;0,0108
3710,00;0,0108
3709,00;0,0108
3708,00;0,0108
3707,00;0,0108
3706,00;0,0108
3705,00;0,0108
3704,00;0,0108
3703,00;0,0108
3702,00;0,0108
3701,00;0,0108
3700,00;0,0108
3699,00;0,0108
3698,00;0,0108
3697,00;0,0108
3696,00;0,0108
3695,00;0,0108
3694,00;0,0108
3693,00;0,0109
3692,00;0,0109
3691,00;0,0108
3690,00;0,0109
3689,00;0,0109
3688,00;0,0109
3687,00;0,0109
3686,00;0,0109
3685,00;0,0109
3684,00;0,0109
3683,00;0,0109
3682,00;0,0109
3681,00;0,0109
3680,00;0,0109
3679,00;0,0109
3678,00;0,0109
3677,00;0,0108
3676,00;0,0108
3675,00;0,0108
3674,00;0,0108
3673,00;0,0108
3672,00;0,0109
3671,00;0,0109
3670,00;0,0109
3669,00;0,0109
3668,00;0,0109
3667,00;0,0109
3666,00;0,0110
3665,00;0,0110
3664,00;0,0111
3663,00;0,0111
3662,00;0,0111
3661,00;0,0112
3660,00;0,0112
3659,00;0,0112
3658,00;0,0112
3657,00;0,0112
3656,00;0,0112
3655,00;0,0112
3654,00;0,0112
3653,00;0,0111
3652,00;0,0111
3651,00;0,0112
3650,00;0,0112
3649,00;0,0113
3648,00;0,0113
3647,00;0,0113
3646,00;0,0114
3645,00;0,0114
3644,00;0,0115
3643,00;0,0115
3642,00;0,0116
3641,00;0,0116
3640,00;0,0117
3639,00;0,0117
3638,00;0,0118
3637,00;0,0118
3636,00;0,0118
3635,00;0,0118
3634,00;0,0119
3633,00;0,0119
3632,00;0,0119
3631,00;0,0119
3630,00;0,0119
3629,00;0,0120
3628,00;0,0121
3627,00;0,0121
3626,00;0,0122
3625,00;0,0122
3624,00;0,0123
3623,00;0,0123
3622,00;0,0123
3621,00;0,0123
3620,00;0,0124
3619,00;0,0124
3618,00;0,0125
3617,00;0,0125
3616,00;0,0126
3615,00;0,0126
3614,00;0,0126
3613,00;0,0127
3612,00;0,0128
3611,00;0,0128
3610,00;0,0129
3609,00;0,0129
3608,00;0,0129
3607,00;0,0130
