Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	3905,00	18,00	1837,65	403,29	6,00	2,82	
2	2794,00	38,00	1314,82	393,88	6,00	2,82	
3	3865,00	48,00	1818,82	389,18	10,00	4,71	
4	2793,00	51,00	1314,35	387,76	7,00	3,29	
5	3715,00	51,00	1748,24	387,76	5,00	2,35	
6	3711,00	62,00	1746,35	382,59	6,00	2,82	
7	2868,00	74,00	1349,65	376,94	9,00	4,24	
8	3714,00	77,00	1747,76	375,53	5,00	2,35	
9	2798,00	88,00	1316,71	370,35	5,00	2,35	
10	3706,00	89,00	1744,00	369,88	7,00	3,29	
11	2904,00	90,00	1366,59	369,41	5,00	2,35	
12	2921,00	95,00	1374,59	367,06	6,00	2,82	
13	3312,00	97,00	1558,59	366,12	5,00	2,35	
14	3317,00	101,00	1560,94	364,24	5,00	2,35	
15	3046,00	112,00	1433,41	359,06	7,00	3,29	
16	2784,00	113,00	1310,12	358,59	5,00	2,35	
17	2797,00	128,00	1316,24	351,53	9,00	4,24	
18	2928,00	126,00	1377,88	352,47	8,00	3,76	
19	3840,00	129,00	1807,06	351,06	5,00	2,35	
20	1818,00	138,00	855,53	346,82	8,00	3,76	
21	1843,00	139,00	867,29	346,35	7,00	3,29	
22	2786,00	139,00	1311,06	346,35	9,00	4,24	
23	2192,00	141,00	1031,53	345,41	5,00	2,35	
24	3044,00	162,00	1432,47	335,53	11,00	5,18	
25	2783,00	145,00	1309,65	343,53	9,00	4,24	
26	3084,00	146,00	1451,29	343,06	12,00	5,65	
27	1786,00	148,00	840,47	342,12	11,00	5,18	
28	3116,00	150,00	1466,35	341,18	6,00	2,82	
29	3728,00	150,00	1754,35	341,18	5,00	2,35	
30	1769,00	151,00	832,47	340,71	7,00	3,29	
31	1764,00	154,00	830,12	339,29	7,00	3,29	
32	2997,00	152,00	1410,35	340,24	35,00	16,47	
33	1851,00	153,00	871,06	339,76	12,00	5,65	
34	2145,00	153,00	1009,41	339,76	28,00	13,18	
35	2214,00	156,00	1041,88	338,35	5,00	2,35	
36	1208,00	164,00	568,47	334,59	7,00	3,29	
37	2136,00	162,00	1005,18	335,53	29,00	13,65	
38	1994,00	167,00	938,35	333,18	10,00	4,71	
39	1238,00	168,00	582,59	332,71	9,00	4,24	
40	1190,00	167,00	560,00	333,18	8,00	3,76	
41	1361,00	168,00	640,47	332,71	12,00	5,65	
42	2796,00	169,00	1315,76	332,24	5,00	2,35	
43	1162,00	171,00	546,82	331,29	12,00	5,65	
44	1732,00	172,00	815,06	330,82	8,00	3,76	
45	2187,00	172,00	1029,18	330,82	5,00	2,35	
46	2236,00	172,00	1052,24	330,82	6,00	2,82	
47	3211,00	173,00	1511,06	330,35	39,00	18,35	
48	1752,00	174,00	824,47	329,88	14,00	6,59	
49	1698,00	175,00	799,06	329,41	11,00	5,18	
50	1882,00	175,00	885,65	329,41	7,00	3,29	
51	3205,00	175,00	1508,24	329,41	39,00	18,35	
52	3187,00	178,00	1499,76	328,00	42,00	19,76	
53	1415,00	180,00	665,88	327,06	5,00	2,35	
54	2883,00	181,00	1356,71	326,59	44,00	20,71	
55	1149,00	182,00	540,71	326,12	17,00	8,00	
56	1689,00	182,00	794,82	326,12	10,00	4,71	
57	1770,00	183,00	832,94	325,65	7,00	3,29	
58	2885,00	194,00	1357,65	320,47	44,00	20,71	
59	2938,00	185,00	1382,59	324,71	5,00	2,35	
60	2074,00	185,00	976,00	324,71	7,00	3,29	
61	2083,00	185,00	980,24	324,71	7,00	3,29	
62	1423,00	190,00	669,65	322,35	5,00	2,35	
63	2261,00	190,00	1064,00	322,35	6,00	2,82	
64	2759,00	192,00	1298,35	321,41	8,00	3,76	
65	1434,00	192,00	674,82	321,41	5,00	2,35	
66	2135,00	193,00	1004,71	320,94	29,00	13,65	
67	2990,00	193,00	1407,06	320,94	39,00	18,35	
68	1790,00	194,00	842,35	320,47	7,00	3,29	
69	1628,00	195,00	766,12	320,00	20,00	9,41	
70	1210,00	196,00	569,41	319,53	12,00	5,65	
71	1265,00	196,00	595,29	319,53	17,00	8,00	
72	1456,00	196,00	685,18	319,53	8,00	3,76	
73	1947,00	196,00	916,24	319,53	35,00	16,47	
74	1615,00	197,00	760,00	319,06	19,00	8,94	
75	1809,00	199,00	851,29	318,12	8,00	3,76	
76	1595,00	201,00	750,59	317,18	20,00	9,41	
77	1875,00	201,00	882,35	317,18	8,00	3,76	
78	1589,00	202,00	747,76	316,71	20,00	9,41	
79	1319,00	203,00	620,71	316,24	5,00	2,35	
80	1878,00	203,00	883,76	316,24	8,00	3,76	
81	1322,00	205,00	622,12	315,29	5,00	2,35	
82	2046,00	205,00	962,82	315,29	16,00	7,53	
83	1231,00	210,00	579,29	312,94	17,00	8,00	
84	1841,00	209,00	866,35	313,41	5,00	2,35	
85	2031,00	210,00	955,76	312,94	13,00	6,12	
86	1364,00	215,00	641,88	310,59	5,00	2,35	
87	1230,00	221,00	578,82	307,76	17,00	8,00	
88	1382,00	220,00	650,35	308,24	6,00	2,82	
89	1763,00	218,00	829,65	309,18	10,00	4,71	
90	2063,00	218,00	970,82	309,18	15,00	7,06	
91	1670,00	219,00	785,88	308,71	11,00	5,18	
92	1770,00	228,00	832,94	304,47	13,00	6,12	
93	3094,00	225,00	1456,00	305,88	5,00	2,35	
94	1033,00	226,00	486,12	305,41	31,00	14,59	
95	1162,00	228,00	546,82	304,47	5,00	2,35	
96	1721,00	226,00	809,88	305,41	19,00	8,94	
97	2283,00	226,00	1074,35	305,41	20,00	9,41	
98	1447,00	231,00	680,94	303,06	19,00	8,94	
99	2292,00	227,00	1078,59	304,94	20,00	9,41	
100	1791,00	230,00	842,82	303,53	6,00	2,82	
101	2205,00	229,00	1037,65	304,00	21,00	9,88	
102	1914,00	231,00	900,71	303,06	10,00	4,71	
103	2260,00	232,00	1063,53	302,59	17,00	8,00	
104	1023,00	233,00	481,41	302,12	33,00	15,53	
105	3592,00	233,00	1690,35	302,12	5,00	2,35	
106	1168,00	234,00	549,65	301,65	5,00	2,35	
107	1455,00	237,00	684,71	300,24	19,00	8,94	
108	1144,00	240,00	538,35	298,82	8,00	3,76	
109	1411,00	239,00	664,00	299,29	5,00	2,35	
110	1847,00	241,00	869,18	298,35	21,00	9,88	
111	3149,00	241,00	1481,88	298,35	6,00	2,82	
112	2078,00	241,00	977,88	298,35	20,00	9,41	
113	1498,00	243,00	704,94	297,41	16,00	7,53	
114	1810,00	243,00	851,76	297,41	9,00	4,24	
115	3624,00	242,00	1705,41	297,88	5,00	2,35	
116	1329,00	244,00	625,41	296,94	18,00	8,47	
117	1522,00	246,00	716,24	296,00	14,00	6,59	
118	1690,00	244,00	795,29	296,94	7,00	3,29	
119	1474,00	246,00	693,65	296,00	14,00	6,59	
120	1693,00	246,00	796,71	296,00	7,00	3,29	
121	2000,00	249,00	941,18	294,59	6,00	2,82	
122	2036,00	250,00	958,12	294,12	6,00	2,82	
123	1604,00	251,00	754,82	293,65	25,00	11,76	
124	2130,00	252,00	1002,35	293,18	5,00	2,35	
125	2267,00	251,00	1066,82	293,65	6,00	2,82	
126	1906,00	254,00	896,94	292,24	5,00	2,35	
127	2787,00	255,00	1311,53	291,76	5,00	2,35	
128	1997,00	257,00	939,76	290,82	5,00	2,35	
129	2783,00	256,00	1309,65	291,29	5,00	2,35	
130	2795,00	257,00	1315,29	290,82	5,00	2,35	
131	2028,00	257,00	954,35	290,82	6,00	2,82	
132	1691,00	259,00	795,76	289,88	8,00	3,76	
133	1764,00	261,00	830,12	288,94	5,00	2,35	
134	1686,00	262,00	793,41	288,47	7,00	3,29	
135	1730,00	262,00	814,12	288,47	5,00	2,35	
136	1258,00	263,00	592,00	288,00	35,00	16,47	
137	1649,00	263,00	776,00	288,00	8,00	3,76	
138	3895,00	263,00	1832,94	288,00	8,00	3,76	
139	3000,00	265,00	1411,76	287,06	6,00	2,82	
140	1536,00	269,00	722,82	285,18	5,00	2,35	
141	1968,00	266,00	926,12	286,59	6,00	2,82	
142	2784,00	267,00	1310,12	286,12	5,00	2,35	
143	2975,00	269,00	1400,00	285,18	5,00	2,35	
144	1955,00	269,00	920,00	285,18	7,00	3,29	
145	1656,00	271,00	779,29	284,24	6,00	2,82	
146	1949,00	271,00	917,18	284,24	7,00	3,29	
147	1571,00	273,00	739,29	283,29	8,00	3,76	
