Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	3875,00	58,00	1823,53	384,47	24,00	11,29	
2	1948,00	226,00	916,71	305,41	5,00	2,35	
3	1974,00	234,00	928,94	301,65	11,00	5,18	
4	1995,00	242,00	938,82	297,88	5,00	2,35	
5	1940,00	253,00	912,94	292,71	9,00	4,24	
6	2007,00	257,00	944,47	290,82	5,00	2,35	
7	1930,00	285,00	908,24	277,65	6,00	2,82	
8	1964,00	284,00	924,24	278,12	5,00	2,35	
9	2002,00	287,00	942,12	276,71	6,00	2,82	
10	1947,00	289,00	916,24	275,76	7,00	3,29	
11	1986,00	293,00	934,59	273,88	7,00	3,29	
12	1937,00	313,00	911,53	264,47	9,00	4,24	
13	1978,00	315,00	930,82	263,53	8,00	3,76	
14	2145,00	323,00	1009,41	259,76	7,00	3,29	
15	2017,00	332,00	949,18	255,53	5,00	2,35	
16	2075,00	333,00	976,47	255,06	21,00	9,88	
17	1990,00	335,00	936,47	254,12	6,00	2,82	
18	2029,00	335,00	954,82	254,12	5,00	2,35	
19	1966,00	338,00	925,18	252,71	5,00	2,35	
20	2113,00	336,00	994,35	253,65	7,00	3,29	
21	2159,00	343,00	1016,00	250,35	11,00	5,18	
22	2050,00	345,00	964,71	249,41	7,00	3,29	
23	1947,00	347,00	916,24	248,47	11,00	5,18	
24	2128,00	355,00	1001,41	244,71	5,00	2,35	
25	2157,00	355,00	1015,06	244,71	12,00	5,65	
26	1995,00	361,00	938,82	241,88	8,00	3,76	
27	2028,00	366,00	954,35	239,53	7,00	3,29	
28	2019,00	370,00	950,12	237,65	5,00	2,35	
29	2070,00	373,00	974,12	236,24	5,00	2,35	
30	2066,00	375,00	972,24	235,29	5,00	2,35	
31	2169,00	379,00	1020,71	233,41	5,00	2,35	
32	2004,00	380,00	943,06	232,94	5,00	2,35	
33	1987,00	382,00	935,06	232,00	10,00	4,71	
34	2148,00	384,00	1010,82	231,06	5,00	2,35	
35	1984,00	389,00	933,65	228,71	10,00	4,71	
36	1978,00	391,00	930,82	227,76	10,00	4,71	
37	2014,00	397,00	947,76	224,94	5,00	2,35	
38	2074,00	397,00	976,00	224,94	10,00	4,71	
39	3747,00	400,00	1763,29	223,53	5,00	2,35	
40	3668,00	400,00	1726,12	223,53	5,00	2,35	
41	3655,00	402,00	1720,00	222,59	5,00	2,35	
42	2042,00	403,00	960,94	222,12	7,00	3,29	
43	3625,00	403,00	1705,88	222,12	6,00	2,82	
44	3701,00	404,00	1741,65	221,65	6,00	2,82	
45	3709,00	403,00	1745,41	222,12	5,00	2,35	
46	3669,00	404,00	1726,59	221,65	5,00	2,35	
47	2110,00	405,00	992,94	221,18	17,00	8,00	
48	3516,00	405,00	1654,59	221,18	5,00	2,35	
49	3596,00	406,00	1692,24	220,71	7,00	3,29	
50	3608,00	405,00	1697,88	221,18	7,00	3,29	
51	3641,00	405,00	1713,41	221,18	9,00	4,24	
52	2055,00	407,00	967,06	220,24	9,00	4,24	
53	3555,00	407,00	1672,94	220,24	8,00	3,76	
54	3570,00	407,00	1680,00	220,24	8,00	3,76	
55	3499,00	408,00	1646,59	219,76	7,00	3,29	
56	3533,00	408,00	1662,59	219,76	8,00	3,76	
57	3388,00	410,00	1594,35	218,82	5,00	2,35	
58	3477,00	410,00	1636,24	218,82	8,00	3,76	
59	3452,00	411,00	1624,47	218,35	9,00	4,24	
60	3366,00	412,00	1584,00	217,88	5,00	2,35	
61	3414,00	414,00	1606,59	216,94	5,00	2,35	
62	3445,00	412,00	1621,18	217,88	9,00	4,24	
63	3372,00	415,00	1586,82	216,47	5,00	2,35	
64	1986,00	417,00	934,59	215,53	7,00	3,29	
